ID,Tweet,Target,Stance,FOL,FOLC,Pred
43,RT @rossansguil: Nothing like dudes joking about molesting me right to my face...,Feminist Movement,FAVOR,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
44,All I'm doing is reading GG tweets and getting angrier. Fuuuuuuuuuuuck men are privileged. Time for bed. #FeminismIsAwfullyGreat,Feminist Movement,FAVOR,∀x ((GG(x) ∧ angers the speaker(x)) ∧ (represents male privilege(x) → is the feminist movement(x)) ∧ is a positive statement about feminism(x)),"Support the given target ""Feminist Movement""",support
45,@FudgieeBuddiee ARE YOU SAYING ALL GIRLS ARE SENSITIVE BECAUSE OF GENDER ROLES? YOU SEXIST SWINE,Feminist Movement,FAVOR,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
46,"@DaniBChristen Yes,a ""greater"" understanding because ur's is ""superior"" 2 mine LOL #IDontNeedFeminism",Feminist Movement,AGAINST,∀x (¬is the feminist movement(x) → is opposed(x)),"Oppose the given target ""Feminist Movement""",opposed
47,WHO DO I GOTTA FUCK TO NEVER FEEL LIKE I GOTTA FUCK SOMEBODY?,Feminist Movement,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
48,"when they say men look at women like a piece of meat what do they even mean, they want to cook & eat her? #YesAllWomen",Feminist Movement,FAVOR,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
49,"Starting to compile evidence for blog post, how modern feminism shares the same traits as the Nazi propaganda #antifeminism",Feminist Movement,AGAINST,"∀x (is the feminist movement(x) → shares traits with y(x, is Nazi propaganda))","Opposed to the given target ""Feminist Movement""",opposed
50,Why don't you love me Twitter,Feminist Movement,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
51,"I HOPE YOU GET RAPED is apparently how misogynists say ""How dare you not bend to my will?"" #YesAllWomen",Feminist Movement,FAVOR,∀x ((is a misogynist(x) ∧ makes violent threats(x))),"Opposed to the given target ""Feminist Movement""",opposed
52,How much radical feminist does there have to be before feminist start rethinking their position about feminism?,Feminist Movement,AGAINST,∃x (is a feminist(x) ∧ is a radical feminist(x) ∧ opposes the feminist movement(x)),"Oppose the given target ""Feminist Movement""",opposed
53,Honoured to be followed by the truly inspirational @Kon__K founder of @ASRC1 #realaustralianssaywelcome #thethingsthatmatter,Feminist Movement,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
54,Feminists don't even understand what feminism is.,Feminist Movement,AGAINST,∀x ((is a feminist(x) ∧ lacks understanding(x)) → is the feminist movement(x)),"Opposed to the given target ""Feminist Movement""",opposed
55,Thanks to the work of people like @everydaysexism they are not only helping women but helping the whole of society,Feminist Movement,FAVOR,∀x ((is helping women(x) ∧ is helping the whole of society(x)) → is the Feminist Movement(x)),"Support the given target ""Feminist Movement""",support
56,"If you wanna stay home and raise a family, that's cool. But that's your choice and nobody else's.",Feminist Movement,FAVOR,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is related to the feminist movement(x)),"no attitude given the target ""Feminist Movement""",neutral
57,@suicidaljac3 eat a pus or somethin lozer,Feminist Movement,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
58,Women are superior to men in every aspect #feminist,Feminist Movement,FAVOR,"∀x (is superior to y(Women, Men) → is the feminist movement(x))","Support the given target ""Feminist Movement""",support
59,@BruiseAurora i'm advocating men to stop loving women. Just have sex with them . #everydaysexism,Feminist Movement,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
60,I NEED FEMINISM BECAUSE- A man in a room full of women is ecstatic. A woman in a room full of men is terrified.,Feminist Movement,FAVOR,"∀x ((is a man(x) ∧ is in a room(x) ∧ is a woman(y) ∧ is in a room(y)) → (eperiences y(x, is ecstatic) ∧ eperiences y(y, is terrified)))","Support the given target ""Feminist Movement""",support
61,Why is Paul Elam not one of the most hated men alive right now!? #feminist,Feminist Movement,FAVOR,∀x (¬(is one of the most hated men alive right now(x) ∧ is Paul Elam(x)) → ¬is part of the feminist movement(x)),"Opposed to the given target ""Feminist Movement""",opposed
62,Yes women it's not fair that men staying at home is shamed by society. We must change ppl additudes #everydaysexism,Feminist Movement,FAVOR,∀x (shames men staying at home(x) → changes people's attitudes(x)),"Support the given target ""Feminist Movement""",support
63,Watching #missrepresentation .. We must change our world. #womenrule #change #beauty,Feminist Movement,FAVOR,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
64,I won't complain about equal rep of girls in gaming. Princess Peach & Zelda are kick-ass women. Samus is a beast. Hello! #gaming,Feminist Movement,FAVOR,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the feminist movement(x)),"no attitude given the target ""Feminist Movement""",neutral
65,A woman is not a sex object. She's a person. #truth #wisdom #womensrights #media #life #humanity #love #society,Feminist Movement,FAVOR,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
66,Umrao Jaan Ada- a story of not just a life or prostitute but of poise and poesy. #WOMANPOWER,Feminist Movement,FAVOR,∀x ((¬represents the feminist movement(x) → ¬is associated with support(x)) ∧ (represents the feminist movement(x) → is associated with support(x))),"Support the given target ""Feminist Movement""",support
67,Lol what's so ugly about wanting to be equal?,Feminist Movement,FAVOR,∀x (is the Feminist Movement(x) → is wanting to be equal(x)),"Support the given target ""Feminist Movement""",support
68,"You want to hear something really ugly, 1 in 5 women will be sexually assaulted in their time in college #MisogynyIsUgly",Feminist Movement,FAVOR,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the feminist movement(x)),"no attitude given the target ""Feminist Movement""",neutral
69,@amin86660132 @justsoshelby Very nice work. I'm happy to hear your autistic friend is able to express himself this way,Feminist Movement,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is related to the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
70,WTF LITEraL FUCK AM I EVAN SSEING THIS THING ABOUT.,Feminist Movement,NONE,∀x ((contains offensive language(x) ∧ provides no specific information or attitude(x)) → ¬is the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
71,Radios r filled with feminist and rape propaganda. Feminism is alive n well in Malaysia. Their rape guilt tactics won't silence me,Feminist Movement,AGAINST,∀x ((is propaganda(x) ∧ is feminist movement(x)) ∨ (is alive and well(x) ∧ is feminist movement(x)) ∨ (is guilt tactics(x) ∧ is feminist movement(x))) → opposes(is feminist movement(x)),"Oppose the given target ""Feminist Movement""",opposed
72,"I take some solace in knowing that, at least, it means they don't know who that useless hack is... @thehiredmind",Feminist Movement,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
73,No. Feminists are not ugly. The fact that there isn't equal rights for both men and women is. #FeministsAreBeautiful,Feminist Movement,FAVOR,∀x ((¬represents equal rights for both men and women(x) → is ugly(x)) ∧ is the feminist movement(x) → is beautiful(x)),"Support the given target ""Feminist Movement""",support
74,"Meredith giving Don crap was great,but HOLY CRAP PEGGY. No spoilers, but DAMN was it a great scene. #Peggy #MadMen",Feminist Movement,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is related to the feminist movement(x)),"no attitude given the target ""Feminist Movement""",neutral
75,so i guess the new definition of ugly is believing in equal rights... LET ME BE UGLY THEN,Feminist Movement,FAVOR,∀x ((is considered ugly(x) ∧ believes in equal rights(x)) → identifies with a belief(x)),"Support the given target ""Feminist Movement""",support
76,Strict gender roles in the context of a true marriage devoted to raising children will always be the ideal. No substitutes. #tcot,Feminist Movement,AGAINST,∀x ((represents strict gender roles(x) ∧ represents a true marriage devoted to raising children(x)) → represents the ideal(x)) ∧ (represents substitutes(x) → ¬represents the ideal(x)) ∧ (represents the feminist movement(x) → ¬represents the ideal(x)),"Opposed to the given target ""Feminist Movement""",opposed
77,Ok armchair feminists got their panties wet. If you're a social justice warrior go out and do something. Get off tumblr.,Feminist Movement,AGAINST,∀x ((is the feminist movement(x) ∧ is an armchair feminist(x)) → (is criticized(x) ∧ is told to get off Tumblr(x))),"Oppose the given target ""Feminist Movement""",opposed
78,I can't believe some of the reasons people say they need feminism. I need my dog for half of the same reasons. #antifeminist,Feminist Movement,AGAINST,∀x ((is needed for certain reasons(x) ∧ is the feminist movement(x)) → is needed for certain reasons(x) ∧ is a dog(x)) ∧ is opposed to(is the feminist movement(x)),"Oppose the given target ""Feminist Movement""",opposed
79,"@StarSThomas Dear god, you are fat.",Feminist Movement,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
80,If feminists are ugly then what are the people calling them ugly must be vile,Feminist Movement,FAVOR,∀x ((is a feminist(x) ∧ is called ugly(x)) → is vile(x)),"Support the given target ""Feminist Movement""",support
81,"Im sorry if you going to be with me and call me ""you women"" like im a cadigory ill probably but boot out the door",Feminist Movement,FAVOR,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
82,"Me (in jest): It's a man's world, y'know. Kaitlyn: I'll blow up the world then.",Feminist Movement,FAVOR,∀x (represents the feminist movement(x) → ¬desires to blow up the world(x)),"Oppose the given target ""Feminist Movement""",opposed
83,.@Awyee707 I respect your truck-suck. Why do you not respect girls' innate or chosen doll-love?,Feminist Movement,FAVOR,∀x ((is a truck(x) ∧ is someone's preference(x)) ∧ (is a doll(x) ∧ is girls' preference(x))) → ¬is the Feminist Movement(x),"Opposed to the given target ""Feminist Movement""",opposed
84,@Awyee707 @TigerClaud You compared playing with dolls to a violent disposition. Two very different things. #GamerGate,Feminist Movement,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the feminist movement(x)),"no attitude given the target ""Feminist Movement""",neutral
85,"@optimist216 What a load of crap. Dressing appropriately for the office is ""sexist""? Grow up. #YesAllWomen",Feminist Movement,FAVOR,∀x ((is considered seist(x) → is criticized(x)) ∧ is told to grow up(x)),"Support the given target ""Feminist Movement""",support
86,I'm not sure my schadenfreudes can stand this much tickling. @MT8_9 @prettysing,Feminist Movement,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
87,.@diistantecho Your wee sister believes in both Santa Claus and feminism. Think harder about what that means.,Feminist Movement,AGAINST,∀x (believes in both Santa Claus and feminism(x) → questions the belief in both Santa Claus and feminism(x)),"Opposed to the given target ""Feminist Movement""",opposed
88,@dancerlwt Have you considered changing your Twitter handle to vagina monologue?,Feminist Movement,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
89,Just give me the attention you never gave anyone else. #ExtremeRules #NepalEarthquake #FreddieGray #RHOAReunion,Feminist Movement,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the feminist movement(x)),"no attitude given the target ""Feminist Movement""",neutral
90,".@nycinterlude Don't worry, honey. Intelligence is a roadblock to full, unquestioning faith in feminism. Bleated be!",Feminist Movement,AGAINST,∀x ((is intelligence(x) ∧ is a roadblock(x)) → is unquestioning faith(is the feminist movement(x))),"Oppose the given target ""Feminist Movement""",opposed
91,I am a feminist.I've been a female for a long time now.It'd be stupid not to be on my own side-Maya Angelou-#feminist #humanist,Feminist Movement,FAVOR,∀x ((is the feminist movement(x) ∧ supports themselves(x)) ∧ quotes Maya Angelou(x)),"Support the given target ""Feminist Movement""",support
92,.@feminismvibes Men don't admit to being raped as readily as women do. So your question is feminist bullshit.,Feminist Movement,AGAINST,∀x ((¬is considered bullshit(x) ∧ ¬is the feminist movement(x)) → is opposed(x)),"Oppose the given target ""Feminist Movement""",opposed
93,"@vote4pedro___ she lied you idiot, it's a fact & the reason that you won't acknowledge those facts is also the reason why",Feminist Movement,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
94,"@AnandDaranand am not stopping your FOE on ur own TL,if u notice;was encouraging u to post topics I'm interested in on my TL #VAW",Feminist Movement,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
95,Courting patriarchal approval condemns your sisters to abuse about their physical appearance #patriarchyisugly,Feminist Movement,FAVOR,∀x (is the feminist movement(x) → (condemns sisters to abuse about their physical appearance(x) ∧ supports the statement that patriarchy is ugly(x))),"Support the given target ""Feminist Movement""",support
96,@SkyNews @EamonnHolmes @SkyJacquie guy from 'beach body ready' advert being interviewed.Conclusion=arrogant male chauvinist idiot,Feminist Movement,FAVOR,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is related to the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
97,@rsiereilly I've been pretty well. Enjoyed your response to,Feminist Movement,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
98,"Contempo Qiwaamah:longer paid maternity leave,flexi working hours,on-site childcare,breastfeeding/breastpumping rooms,equal pay",Feminist Movement,FAVOR,∀x (supports the feminist movement(x)),"Support the given target ""Feminist Movement""",support
99,@MrMikeCalta Proud to say I don't listen to fat crossed eyed MJ,Feminist Movement,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
100,"@rimmedlarry Actually, the tag was made by feminists so they can narcissistically post selfies to prove they're not ugly.",Feminist Movement,AGAINST,∀x ((is the feminist movement(x) ∧ created the tag(x)) → (posts selfies(x) ∧ ¬is ugly(x))),"Oppose the given target ""Feminist Movement""",opposed
101,I have noticed that you never see any really beautiful feminists. I wonder why?,Feminist Movement,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is part of the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
102,@james_WTF don't be saying these inconvenient truths. It might hurt the narrative.,Feminist Movement,NONE,∀x ((is mentioned(x) ∧ hurts the narrative(x)) → ¬is the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
103,"@draumkunta also, sorry I'm too busy being a gorgeous feminist to give a shit about your beauty standards",Feminist Movement,FAVOR,∀x (is being supported(x) → is the feminist movement(x)),"Support the given target ""Feminist Movement""",support
104,@bethany_jayneW its cool I got the greenlight I'm back on ur side,Feminist Movement,NONE,"∀x (is a person mentioned in y's statement(x, ""@bethany_jayneW its cool I got the greenlight I'm back on ur side"") → supports the Feminist Movement(is the Feminist Movement(x)))","Support the given target ""Feminist Movement""",support
105,"@_sarcasmspasm @MT8_9 Then there's the added level of irony: Their chosen figureheads: Not really ""body positive"" amirite?",Feminist Movement,AGAINST,∀x ((is the feminist movement(x) ∧ is a chosen figurehead(x)) → ¬is body positive(x)),"Oppose the given target ""Feminist Movement""",opposed
106,Your physical appearance doesn't define your worth.People should be heard whether theyre conventionally attractive or not.,Feminist Movement,FAVOR,∀x ((defines worth(x) → ¬represents physical appearance(x)) ∧ (should be heard(x) ∧ (¬is conventionally attractive(x) ∨ is conventionally attractive(x)))),"Support the given target ""Feminist Movement""",support
107,All the feminist block me because I speak true.,Feminist Movement,AGAINST,"∀x (is part of the feminist movement(x) → blocks y(x, me)) ∧ ∀x (blocks y(x, me) → speaks the truth(me))","Opposed to the given target ""Feminist Movement""",opposed
108,I'm going to walk you thru this @helen_a13 because I get feminists have NO idea what they are saying... @BristolBen,Feminist Movement,AGAINST,∀x (is a feminist(x) → has no idea what they are saying(x)) → is opposed(Feminist Movement),"Oppose the given target ""Feminist Movement""",opposed
109,@MsLuuna women don't need to shave.,Feminist Movement,FAVOR,∀x (needs to shave(x) → ¬is part of the feminist movement(x)),"Support the given target ""Feminist Movement""",support
110,The only thing ugly is the god damn opinions of the idiotic people who started this tag,Feminist Movement,NONE,∀x (is the Feminist Movement(x) → has idiotic opinions(x)),"Opposed to the given target ""Feminist Movement""",opposed
111,"Wives who dislike cooking mk husbands diet, saying they'll stay fit Actually they want to avoid cooking ;) MCP #WomensProgress2015",Feminist Movement,FAVOR,∀x ((is a wife(x) ∧ dislikes cooking(x)) → (is on a diet(x) ∧ wants to avoid cooking(x))) ∧ is part of the feminist movement(WomensProgress2015) → is opposed(is part of the feminist movement(x)),"Oppose the given target ""Feminist Movement""",opposed
112,"These SJWs are so homogenous and blur together so well it's like dealing with one giant,rainbow-headed monster. #GamerGate",Feminist Movement,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is the Feminist Movement(x)),"no attitude given the target ""Feminist Movement""",neutral
