ID,Tweet,Target,Stance,Ans,needbkl,restated_sentence,extracted_knowledge
24,.@EthanObama I know - it's just going to be a long year!,Hillary Clinton,NONE," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: No mention or reference to given target 'Hillary Clinton'

Attitude Conclusion: The attitude towards Hillary Clinton is Neutral.
First-order logic:
M(x): x is mentioned.
R(x): x is referenced.
H(x): x is Hillary Clinton.
Neutral: ∀x (¬(M(x) ∨ R(x)) → ¬H(x))",0,"I know EthanObama, it's just going to be a long year!",
25,"Technically, a president with raging hormones could refer to estrogen, testosterone or anabolic steroids #IBlamePublicSchools",Hillary Clinton,AGAINST," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: No mention or reference to given target 'Hillary Clinton'

Attitude Conclusion: The attitude towards public schools is Opposed.
First-order logic:
M(x): x is mentioned.
R(x): x is referenced.
H(x): x is Hillary Clinton.
O(x): x is opposed.
Opposed: ∀x (¬(M(x) ∨ R(x)) → O(x))",0,"Technically, a president experiencing a surge of hormonal activity could be due to the presence of estrogen, testosterone or anabolic steroids. This situation is attributed to the shortcomings of public schools according to the hashtag #IBlamePublicSchools",
26,Does Hillary really need to run this country? Could we just make her president of the Bingo club at Shady Pines?  #tcot #p2,Hillary Clinton,AGAINST,∀x ((is suitable to run the country(x) → ¬is president of the Bingo club at Shady Pines(x)) ∧ is opposed(x)) → opposed,1,Does Hillary Clinton truly have to hold the position of the President of this country? Would it be possible to appoint her as the president of the Bingo club at Shady Pines instead? #tcot #p2,
27,Lol why do so many people around here hate Hillary?,Hillary Clinton,FAVOR," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: Many individuals in this area have unfavorable feelings towards Hillary Clinton.

Attitude Conclusion: The attitude towards Hillary Clinton is Opposed.

First-order logic:
F(x): x has unfavorable feelings.
H(x): x is Hillary Clinton.
O(x): x is in this area.
Opposed: ∃x (F(x) ∧ H(x) ∧ O(x))",0,"Laughing out loud, why do so many individuals in this area express unfavorable feelings towards Hillary Clinton?",
28,"@HillaryClinton is at the top, and has spent her whole career growing government, keeping the deck stacked. #LibertyNotHillary",Hillary Clinton,AGAINST,∀x (is Hillary Clinton(x) → (has spent their whole career growing government(x) ∧ keeps the deck stacked(x))) → opposed,1,"Hillary Clinton is currently at the top. Throughout her career, she has dedicated her effort to expanding the government and maintaining an unfair advantage. Those who advocate for liberty should not support her candidacy. #LibertyNotHillary","""Clinton believes that income inequality is a barrier to equal opportunity. She has suggested that the growing inequality is reminiscent of the Gilded Age of the robber barons"" 
(Note: The Wikipedia Document does not directly mention the tweet or the hashtag.)"
29,"Problem with #libertarian is it's not even a decreed party. A house devided against itself, will not stand. think this news to",Hillary Clinton,NONE," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: No mention or reference to given target 'Hillary Clinton'

Attitude Conclusion: The attitude towards Hillary Clinton is Neutral.
First-order logic:
M(x): x is mentioned.
R(x): x is referenced.
H(x): x is Hillary Clinton.
Neutral: ∀x (¬(M(x) ∨ R(x)) → ¬H(x))",0,The problem with the libertarian party is that it is not an officially recognized political party. A house divided against itself will not stand. I think this news is worth considering.,
30,@HillaryClinton i am portuguese and i support your campaign! Best luck! The world need a person and a women like you! #USA,Hillary Clinton,FAVOR,∀x (supports Hillary Clinton's campaign(x) ∧ believes the world needs someone like Hillary Clinton(x)) → support,1,"I am Portuguese and I support your campaign, Hillary Clinton. Best of luck to you! The world needs a person and a woman like you. #USA","Clinton emphasized her experience and record in public life, particularly as secretary of state."
31,Hillary Clinton for Ambassador to ISIS.,Hillary Clinton,AGAINST," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: Someone is suggesting Hillary Clinton become the ambassador to ISIS.

Attitude Conclusion: The attitude towards Hillary Clinton is opposed.

First-order logic:
S(x): x is suggesting.
H(x): x is Hillary Clinton.
I(x): x is the ambassador to ISIS.
Opposed: ∃x (S(x) ∧ H(x) ∧ I(x))",0,Someone is sarcastically suggesting that Hillary Clinton should become the ambassador to Islamic State of Iraq and Syria (ISIS).,
32,"So when all you brave patriots stop Hillary, who you going to replace her with, Jeb Bush? LOL. #losers",Hillary Clinton,FAVOR,∀x ((is Hillary Clinton(x) ∧ is replaced by Jeb Bush(x)) → is opposed(x)) → opposed,1,"When all the brave patriots stop Hillary, who are they planning to replace her with? Are they considering Jeb Bush? This is funny and shows that the person calling them losers doesn't take them seriously. #losers",
33,I'm a woman. Can I be President? @StopHillaryPAC,Hillary Clinton,AGAINST,∀x ((is a woman(x) ∧ can be President(x)) ∧ (mentions the target(x) ∧ is related to the possibility of a woman becoming President(x))) → support,1,"As a woman, am I eligible to hold the position of President of the United States? This question was addressed to the Stop Hillary Political Action Committee via Twitter using the handle @StopHillaryPAC.","Hillary Clinton has called for the U.S. to ratify the Convention on the Elimination of All Forms of Discrimination Against Women, which was signed by President Jimmy Carter in 1980 but never ratified by the Senate."
34,This is not her first time at the rodeo!  @HillaryClinton doesn't care who likes her or not This woman is on a mission #Tough,Hillary Clinton,FAVOR,∀x (¬likes Hillary Clinton(x) ∨ cares about who likes her(x)) ∧ is on a mission(x) → support,1,"This is not Hillary Clinton's first time dealing with a challenging situation. She is determined to achieve her goals regardless of whether or not people approve of her. She is a strong, determined woman with a clear mission. #Tough",
35,@lajouetreine @KarrattiPaul I'm not a Genitalian,Hillary Clinton,NONE," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: No mention or reference to given target 'Hillary Clinton'

Attitude Conclusion: The attitude towards Hillary Clinton is Neutral.
First-order logic:
M(x): x is mentioned.
R(x): x is referenced.
H(x): x is Hillary Clinton.
Neutral: ∀x (¬(M(x) ∨ R(x)) → ¬H(x))",0,I am not a person from a fictional country called Genitalia. @lajouetreine @KarrattiPaul,
36,Wondering what the NEXT idiotic GOP smear against @HillaryClinton will be. It's coming for sure. Just don't know details yet.,Hillary Clinton,FAVOR,∀x ((is a smear(x) ∧ is from the GOP(x)) → is Hillary Clinton(x)) → support,1,"I am curious about what the upcoming unreasonable GOP attack against Hillary Clinton will be. I am sure it is coming, but at this point, I do not know any specifics.",
37,Hillary is killing it so far on the trail. She's finally showing her personal side and I think it will benefit her profoundly.,Hillary Clinton,FAVOR,∀x ((is Hillary Clinton(x) ∧ is doing well on the trail(x) ∧ is showing her personal side(x)) → will benefit greatly(x)) → support,1,Hillary Clinton is doing very well on the campaign trail. She is showing her personal side which I believe will greatly benefit her.,
38,Do we call Bill Mr President...the first 1st man of Or mr president the 1st man? Lol #imreadyforhillary,Hillary Clinton,FAVOR,∀x (¬is mentioned(x) → ¬is Hillary Clinton(x)) → neutral,1,"Do we refer to Bill Clinton as Mr. President since he was a former President or as the first First Man, in case Hillary Clinton becomes President? This is funny. #imreadyforhillary",
39,.@gailtalk @trscoop Of course it was. She'll be handled every step of the way. They can't risk her unscripted.,Hillary Clinton,AGAINST,∀x ((is Hillary Clinton(x) → will be handled every step of the way(x)) ∧ (is Hillary Clinton(x) → is at risk of being unscripted(x))) → opposed,1,"The handling of Hillary Clinton is absolutely necessary, she will be supervised carefully to avoid any unscripted actions that might cause any risks. This was mentioned in a tweet by @gailtalk and @trscoop originally.",
40,I just want my dog to stop eating the trash,Hillary Clinton,NONE,"Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: No mention or reference to given target 'Hillary Clinton'

Attitude Conclusion: The attitude towards Hillary Clinton is Neutral.
First-order logic:
M(x): x is mentioned.
R(x): x is referenced.
H(x): x is Hillary Clinton.
Neutral: ∀x (¬(M(x) ∨ R(x)) → ¬H(x))",0,This tweet is not about Hillary Clinton. No sentence can be restated.,
41,@thehill @evanperez are you kidding me...leave her to focus on issues...the next prez,Hillary Clinton,FAVOR,∀x ((is Hillary Clinton(x) → should be left alone to focus on issues(x)) ∧ (is Hillary Clinton(x) → is the net president(x))) → support,1,"The tweet is suggesting that @thehill and @evanperez should stop bothering Hillary Clinton and let her concentrate on resolving important matters, as she may be the next president of the United States.",
42,Congratulations @HillaryClinton on entering the 2016 race for President! You have the support of Jews all over the world!,Hillary Clinton,FAVOR,"∀x ((is a person(x) ∧ is running for President(x)) → has the support of y(x, Jews)) → support",1,Congratulations to Hillary Clinton for announcing her candidacy for the 2016 presidential race! Her campaign has the support of Jewish people from all around the globe.,
43,"@HillaryClinton had more twitter followers then all four major Republican candidates (Bush, Rubio, Paul, Cruz) COMBINED.",Hillary Clinton,FAVOR,has more Twitter followers(Hillary Clinton) > has more Twitter followers(x) for all is a Republican candidate(x) → support,1,"Hillary Clinton had more Twitter followers than the total number of Twitter followers of all four major Republican candidates (Jeb Bush, Marco Rubio, Rand Paul, and Ted Cruz) combined.",
44,#HillaryClinton has yet to release @ClintonFdn donors... Public deserves disclosure. #Scandals #lies #Clintons,Hillary Clinton,AGAINST,∀x ((is Hillary Clinton(x) ∧ ¬releases donors(x)) ∧ deserves disclosure(x) ∧ (is mentioned(x) → (is scandals(x) ∨ is lies(x) ∨ is the Clintons(x)))) → is opposed(x) → opposed,1,Hillary Clinton has not yet released the list of donors to the Clinton Foundation. The public deserves to know and she should disclose it. There have been scandals and lies associated with her and the Clintons.,
45,I want to go back in time to when men and women couldn't appear in the same yearbook as each other #old school,Hillary Clinton,NONE," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: No mention or reference to given target 'Hillary Clinton'

Attitude Conclusion: The attitude towards Hillary Clinton is Neutral.
First-order logic:
M(x): x is mentioned.
R(x): x is referenced.
H(x): x is Hillary Clinton.
Neutral: ∀x (¬(M(x) ∨ R(x)) → ¬H(x))",0,"The person wishes to revisit the time when men and women were not allowed to appear in the same yearbook as each other, which is known as old school.",
46,RT @hale_razor:#HillaryAccomplishments 1 of select few people fired 4 being 2 unethical 2 investigate Watergate,Hillary Clinton,AGAINST,∀x ((is mentioned(x) ∧ is fired(x) ∧ is unethical(x) ∧ investigates Watergate(x)) → is Hillary Clinton(x)) → opposed,1,Retweet by hale_razor. Hashtag Hillary Accomplishments. Hillary Clinton is one of select few people who got fired for being too unethical to investigate Watergate.,
47,How can she live with herself? #Benghazi,Hillary Clinton,AGAINST,∃x (lives with themselves(x) ∧ is Hillary Clinton(x)) → is opposed(x) → opposed,1,How can Hillary Clinton live with herself after the Benghazi incident?,"Hillary Clinton took responsibility for the question of security lapses saying the differing explanations were due to the inevitable fog of war confusion after such events. Clinton said she accepted the conclusions of the report and that changes were underway to implement its suggested recommendations. Clinton gave testimony to two congressional foreign affairs committees on January 23, 2013, regarding the Benghazi attack. She defended her actions in response to the incident, and while still accepting formal responsibility, said she had had no direct role in specific discussions beforehand regarding consulate security. In October 2015, Clinton testified at an all-day and nighttime session before the committee. The hearing included many heated exchanges between committee members and Clinton and among the committee members themselves. Clinton was widely seen as emerging largely unscathed from the hearing. The Republican report offered some new details about the attack but no new evidence of culpability by Clinton."
48,Marriage equality a constitutional right! Woot #HRC2016 #hillaryclinton #readyforhillary #vote #hillaryfor2016 ##mpotus,Hillary Clinton,FAVOR,∀x ((is Hillary Clinton(x) → is supported(x))) → support,1,Marriage equality is now recognized as a constitutional right! Woot! Let's support Hillary Clinton for her presidential campaign in 2016. #HRC2016 #HillaryClinton #ReadyForHillary #Vote #HillaryFor2016 #MadamPresidentOfTheUnitedStates,"Clinton made LGBT rights a central issue in her campaign. In addition to promoting broader LGBT rights, she also advocates for the right for transgender people to serve in the military. Clinton's stance on LGBT rights, like many Democrats, has shifted over time with public opinion. In March 2013, she formally stated her support for same-sex marriage after stepping down as Secretary of State, stating she supported it ""personally and as a matter of policy and law."" In December 2015, Clinton published a plan for LGBT rights. The next month, the Human Rights Campaign endorsed her for president."
49,Hillary needs to go to a Sheetz gas station after 10 pm to see the real America.,Hillary Clinton,AGAINST," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: Hillary Clinton should visit a Sheetz gas station after 10 pm.

Attitude Conclusion: The attitude towards Hillary Clinton is neutral.

First-order logic:
V(x): x should visit a Sheetz gas station after 10 pm.
N(x): x is neutral.
Neutral: ∀x (V(x) → N(x))",0,Hillary Clinton should visit a Sheetz gas station after 10 pm to experience the true reality of America.,
50,Hillary's campaign events are scripted dog & pony shows designed to shelter her from vetting b4 the coronation,Hillary Clinton,AGAINST,∀x ((is Hillary Clinton(x) ∧ 's campaign events are scripted dog & pony shows(x) ∧ 's campaign events are designed to shelter her from vetting(x) ∧ 's campaign events occur before the coronation(x)) → is opposed(x)) → opposed,1,Hillary Clinton's campaign events are pre-planned and rehearsed performances that aim to protect her from being scrutinized before she is officially declared as the chosen one.,
51,"Yes, do tell US, name one of her accomplishments",Hillary Clinton,AGAINST,"Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The speaker is asking for an achievement of Hillary Clinton.

Attitude Conclusion: The attitude towards Hillary Clinton is neutral.",0,"Yes, please tell us. Can you name one achievement of Hillary Clinton?",
52,"Apparently, putting cocaine in someone's butthole and then waiting for them to fart in your face is the wrong way to get high.",Hillary Clinton,NONE,"Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: No mention or reference to given target 'Hillary Clinton'

Attitude Conclusion: The attitude towards public rail is Neutral.
First-order logic:
M(x): x is mentioned.
R(x): x is referenced.
H(x): x is Hillary Clinton.
Neutral: ∀x (¬(M(x) ∨ R(x)) → ¬H(x))",0,It seems that trying to get high by placing cocaine in another person's rectum and waiting for them to pass gas in your face is not an effective method.,
53,Why is Hillary lying AGAIN about something news worthy? What's news worthy is if she doesn't lie about something,Hillary Clinton,AGAINST,"∃x (is lying about y(Hillary Clinton, x) ∧ is newsworthy(x)) → is opposed(Hillary Clinton) → opposed",1,Why is Hillary Clinton once again being dishonest about something that deserves attention? The only thing deserving attention would be if she actually told the truth for once.,
54,Chipotle employees shouldn't complain Hillary left nothing in the tip jar. They're lucky she didn't dip in and help herself,Hillary Clinton,AGAINST,∀x (¬left a tip in the Chipotle tip jar(x) ∧ is Hillary Clinton(x) → took money from the Chipotle tip jar(x)) → opposed,1,The employees at Chipotle should not complain about Hillary Clinton not leaving a tip. She could have taken something from the tip jar for herself.,
55,"@Bluesaloon Women are not a demographic, we are at least 50% of the nation. So a woman is no more symbolic than a man",Hillary Clinton,NONE,"Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: No mention or reference to given target 'Hillary Clinton'

Attitude Conclusion: The attitude towards Hillary Clinton is Neutral.
First-order logic:
M(x): x is mentioned.
R(x): x is referenced.
H(x): x is Hillary Clinton.
Neutral: ∀x (¬(M(x) ∨ R(x)) → ¬H(x))",0,"Bluesaloon, I disagree with your statement that women are a demographic. Women make up at least 50% of the nation, so having a woman as a symbolic figure is not more important than having a man as one.","In national polling, Clinton enjoyed ""the highest level of female support of any candidate in more than four decades,"" with a 24-point lead in among female registered voters in a Pew Research Center taken on the eve of the 2016 Democratic National Convention."
56,Sending u gay bear love from Chicago @HillaryClinton #HillaryMyPresident,Hillary Clinton,FAVOR,∀x ((is support(x) ∧ is affection(x)) → is Hillary Clinton(x)) → support,1,I am sending you love as a gay bear from Chicago in support of Hillary Clinton as my President.,
57,I love the smell of Hillary in the morning. It smells like Republican Victory. #TedCruz2016 #MarcoRubio,Hillary Clinton,AGAINST," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The speaker supports Ted Cruz and Marco Rubio and believes that Hillary Clinton's presence will lead to a Republican victory.

Attitude Conclusion: The attitude towards Hillary Clinton is opposed.

First-order logic:
S(x): x supports Ted Cruz.
M(x): x supports Marco Rubio.
R(x): x believes that Hillary Clinton's presence will lead to a Republican victory.
O(x): x is opposed to Hillary Clinton.
Opposed: S(x) ∧ M(x) ∧ R(x) → O(x)",0,"I support Republican candidates Ted Cruz and Marco Rubio, and I believe that Hillary Clinton's presence ensures a Republican victory. #TedCruz2016 #MarcoRubio",
