ID,Tweet,Target,Stance,FOL,FOLC,Pred
12,"Didn't realize Bob Dole was mentioned in Tupac's ""How do u want it"" #YesterdaysLeaders",Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
13,If I run for office this will be my original logo: M #libertynothillary #HillNo #tcot #UniteBlue,Hillary Clinton,AGAINST,∀x ((is mentioned(x) ∧ is Hillary Clinton(x)) → is mentioned in a negative contet(x)),Opposed to the given target 'Hillary Clinton',opposed
14,I will be there when your little tree has run out of smell. #ThatChampion,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
15,crazy to think next up for the Oval Office is either going to be Hillary or a Republican,Hillary Clinton,AGAINST,∀x (is the net person for the Oval Office(x) → (is Hillary Clinton(x) ∨ is a Republican(x))),"no attitude given the target ""Hillary Clinton""",neutral
16,@NACLA @BrasilWire SOS OBAMA Who?? @BarackObama ?? :-)))) Are you joking? #StopDilma #StopLula #StopForodeSaoPaulo,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
17,@CheekyGent @ChuckCJohnson Hey Hillary is on her to way to buy votes too! #HillarySoOld,Hillary Clinton,AGAINST,∀x ((is mentioned(x) ∧ is Hillary Clinton(x)) → is negatively commented on(x)),Opposed to the given target 'Hillary Clinton',opposed
18,"RT @NicolaSturgeon: ""It's official: Hillary's running for president,"" says her campaign chief. Excellent!",Hillary Clinton,FAVOR,∀x (is running for president(x) → is supported(x)),"Support the given target ""Hillary Clinton""",support
19,"Only in a SEXIST AS FUK world would we question the ""qualifications"" of a former SECRETARY OF STATE.",Hillary Clinton,FAVOR,∀x ((is seist(x) → ¬has qualifications(x)) ∧ is a former Secretary of State(Hillary Clinton)),"Support the given target ""Hillary Clinton""",support
20,@ChrisChristie couldn't run his way out of a paper bag let alone beat #HillaryClinton. Go home Chris u r drunk. #ChrisChristie,Hillary Clinton,FAVOR,"∀x (¬can beat y(x, Hillary Clinton) ∧ is drunk(x) ∧ should go home(x))","Support the given target ""Hillary Clinton""",support
21,"@ReformedBroker ""to da honies gittin money playing #bleep words like dummies"" #POPPA",Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
22,Forgive #CherylRios of her stupid comments about women being president. She will blame it on that time of the month anyways.,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),no attitude given the target 'Hillary Clinton',neutral
23,Low key it would be interesting to have a female president.,Hillary Clinton,FAVOR,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
24,"@seanhannity we lost 4,000 of our Military boys when your President pulled out of Iraq. #LiberalConsequences",Hillary Clinton,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
25,.@EthanObama I know - it's just going to be a long year!,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
26,"Technically, a president with raging hormones could refer to estrogen, testosterone or anabolic steroids #IBlamePublicSchools",Hillary Clinton,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
27,Does Hillary really need to run this country? Could we just make her president of the Bingo club at Shady Pines? #tcot #p2,Hillary Clinton,AGAINST,∀x ((is suitable to run the country(x) → ¬is president of the Bingo club at Shady Pines(x)) ∧ is opposed(x)),"Oppose the given target ""Hillary Clinton""",opposed
28,Lol why do so many people around here hate Hillary?,Hillary Clinton,FAVOR,∀x (¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
29,"@HillaryClinton is at the top, and has spent her whole career growing government, keeping the deck stacked. #LibertyNotHillary",Hillary Clinton,AGAINST,∀x (is Hillary Clinton(x) → (has spent their whole career growing government(x) ∧ keeps the deck stacked(x))),"Opposed to the given target ""Hillary Clinton""",opposed
30,"Problem with #libertarian is it's not even a decreed party. A house devided against itself, will not stand. think this news to",Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
31,@HillaryClinton i am portuguese and i support your campaign! Best luck! The world need a person and a women like you! #USA,Hillary Clinton,FAVOR,∀x (supports Hillary Clinton's campaign(x) ∧ believes the world needs someone like Hillary Clinton(x)),"Support the given target ""Hillary Clinton""",support
32,Hillary Clinton for Ambassador to ISIS.,Hillary Clinton,AGAINST,is opposed(Hillary Clinton),"Opposed to the given target ""Hillary Clinton""",opposed
33,"So when all you brave patriots stop Hillary, who you going to replace her with, Jeb Bush? LOL. #losers",Hillary Clinton,FAVOR,∀x ((is Hillary Clinton(x) ∧ is replaced by Jeb Bush(x)) → is opposed(x)),"Oppose the given target ""Hillary Clinton""",opposed
34,I'm a woman. Can I be President? @StopHillaryPAC,Hillary Clinton,AGAINST,∀x ((is a woman(x) ∧ can be President(x)) ∧ (mentions the target(x) ∧ is related to the possibility of a woman becoming President(x))),Support the given target 'Hillary Clinton',support
35,This is not her first time at the rodeo! @HillaryClinton doesn't care who likes her or not This woman is on a mission #Tough,Hillary Clinton,FAVOR,∀x (¬likes Hillary Clinton(x) ∨ cares about who likes her(x)) ∧ is on a mission(x),"Support the given target ""Hillary Clinton""",support
36,@lajouetreine @KarrattiPaul I'm not a Genitalian,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
37,Wondering what the NEXT idiotic GOP smear against @HillaryClinton will be. It's coming for sure. Just don't know details yet.,Hillary Clinton,FAVOR,∀x ((is a smear(x) ∧ is from the GOP(x)) → is Hillary Clinton(x)),"Support the given target ""Hillary Clinton""",support
38,Hillary is killing it so far on the trail. She's finally showing her personal side and I think it will benefit her profoundly.,Hillary Clinton,FAVOR,∀x ((is Hillary Clinton(x) ∧ is doing well on the trail(x) ∧ is showing her personal side(x)) → will benefit greatly(x)),"Support the given target ""Hillary Clinton""",support
39,Do we call Bill Mr President...the first 1st man of Or mr president the 1st man? Lol #imreadyforhillary,Hillary Clinton,FAVOR,∀x (¬is mentioned(x) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
40,.@gailtalk @trscoop Of course it was. She'll be handled every step of the way. They can't risk her unscripted.,Hillary Clinton,AGAINST,∀x ((is Hillary Clinton(x) → will be handled every step of the way(x)) ∧ (is Hillary Clinton(x) → is at risk of being unscripted(x))),"Opposed to the given target ""Hillary Clinton""",opposed
41,I just want my dog to stop eating the trash,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
42,@thehill @evanperez are you kidding me...leave her to focus on issues...the next prez,Hillary Clinton,FAVOR,∀x ((is Hillary Clinton(x) → should be left alone to focus on issues(x)) ∧ (is Hillary Clinton(x) → is the net president(x))),"Support the given target ""Hillary Clinton""",support
43,Congratulations @HillaryClinton on entering the 2016 race for President! You have the support of Jews all over the world!,Hillary Clinton,FAVOR,"∀x ((is a person(x) ∧ is running for President(x)) → has the support of y(x, Jews))","Support the given target ""Hillary Clinton""",support
44,"@HillaryClinton had more twitter followers then all four major Republican candidates (Bush, Rubio, Paul, Cruz) COMBINED.",Hillary Clinton,FAVOR,has more Twitter followers(Hillary Clinton) > has more Twitter followers(x) for all is a Republican candidate(x),"Support the given target ""Hillary Clinton""",support
45,#HillaryClinton has yet to release @ClintonFdn donors... Public deserves disclosure. #Scandals #lies #Clintons,Hillary Clinton,AGAINST,∀x ((is Hillary Clinton(x) ∧ ¬releases donors(x)) ∧ deserves disclosure(x) ∧ (is mentioned(x) → (is scandals(x) ∨ is lies(x) ∨ is the Clintons(x)))) → is opposed(x),"Oppose the given target ""Hillary Clinton""",opposed
46,I want to go back in time to when men and women couldn't appear in the same yearbook as each other #old school,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
47,RT @hale_razor:#HillaryAccomplishments 1 of select few people fired 4 being 2 unethical 2 investigate Watergate,Hillary Clinton,AGAINST,∀x ((is mentioned(x) ∧ is fired(x) ∧ is unethical(x) ∧ investigates Watergate(x)) → is Hillary Clinton(x)),"Opposed to the given target ""Hillary Clinton""",opposed
48,How can she live with herself? #Benghazi,Hillary Clinton,AGAINST,∃x (lives with themselves(x) ∧ is Hillary Clinton(x)) → is opposed(x),"Oppose the given target ""Hillary Clinton""",opposed
49,Marriage equality a constitutional right! Woot #HRC2016 #hillaryclinton #readyforhillary #vote #hillaryfor2016 ##mpotus,Hillary Clinton,FAVOR,∀x ((is Hillary Clinton(x) → is supported(x))),"Support the given target ""Hillary Clinton""",support
50,Hillary needs to go to a Sheetz gas station after 10 pm to see the real America.,Hillary Clinton,AGAINST,∀x (is Hillary Clinton(x) → (needs to go to a Sheetz gas station after 10 pm(x) ∧ will see the real America(x))),"Oppose the given target ""Hillary Clinton""",opposed
51,Hillary's campaign events are scripted dog & pony shows designed to shelter her from vetting b4 the coronation,Hillary Clinton,AGAINST,∀x ((is Hillary Clinton(x) ∧ 's campaign events are scripted dog & pony shows(x) ∧ 's campaign events are designed to shelter her from vetting(x) ∧ 's campaign events occur before the coronation(x)) → is opposed(x)),"Oppose the given target ""Hillary Clinton""",opposed
52,"Yes, do tell US, name one of her accomplishments",Hillary Clinton,AGAINST,∃x (is an accomplishment(x) ∧ Hillary Clinton),"The attitude is opposed to the target ""Hillary Clinton""",opposed
53,"Apparently, putting cocaine in someone's butthole and then waiting for them to fart in your face is the wrong way to get high.",Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
54,Why is Hillary lying AGAIN about something news worthy? What's news worthy is if she doesn't lie about something,Hillary Clinton,AGAINST,"∃x (is lying about y(Hillary Clinton, x) ∧ is newsworthy(x)) → is opposed(Hillary Clinton)","Oppose the given target ""Hillary Clinton""",opposed
55,Chipotle employees shouldn't complain Hillary left nothing in the tip jar. They're lucky she didn't dip in and help herself,Hillary Clinton,AGAINST,∀x (¬left a tip in the Chipotle tip jar(x) ∧ is Hillary Clinton(x) → took money from the Chipotle tip jar(x)),"Opposed to the given target ""Hillary Clinton""",opposed
56,"@Bluesaloon Women are not a demographic, we are at least 50% of the nation. So a woman is no more symbolic than a man",Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
57,Sending u gay bear love from Chicago @HillaryClinton #HillaryMyPresident,Hillary Clinton,FAVOR,∀x ((is support(x) ∧ is affection(x)) → is Hillary Clinton(x)),"Support the given target ""Hillary Clinton""",support
58,I love the smell of Hillary in the morning. It smells like Republican Victory. #TedCruz2016 #MarcoRubio,Hillary Clinton,AGAINST,is loved(Hillary) ∧ smells like Republican Victory(Hillary) ∧ is opposed(Hillary),"Oppose the given target ""Hillary Clinton""",opposed
59,@ProBirdRights: I do a stump speech. It on the stump in the park. attendance mandatory.,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
60,I'd still rather have Aaron Hernandez as President than Hillary.,Hillary Clinton,AGAINST,∀x (is preferred(is Aaron Hernandez(x)) ∧ is preferred(is Hillary Clinton(x))),"Opposed to the given target ""Hillary Clinton""",opposed
61,@JSavoly @tedcruz Here ya go teddy boy..the world is getting HOTTER!! It's called GLOBAL WARMING!! You're such a PUTZ!!,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
62,@JusticeWillett at least he has a platform,Hillary Clinton,NONE,∀x (is mentioned(x) ∧ has a platform(x)) → is supportive(x),"Support the given target ""Hillary Clinton""",support
63,"Because I'm against common core, common crooks and common lies! #NoHillary2016 #StopHillaryClinton2016 #WhyImNotVotingForHillary",Hillary Clinton,AGAINST,∀x ((is opposed to common core(x) ∧ is opposed to common crooks(x) ∧ is opposed to common lies(x))),"Opposed to the given target ""Hillary Clinton""",opposed
64,I would LMAO if some negro Democrat decides to run for President. #HillaryClinton2016 #HillarysBigAnnouncement #HillarysDonors,Hillary Clinton,AGAINST,∀x ((is a Democratic candidate(x) ∧ is running for President(x)) → is opposed(Hillary Clinton)),"Oppose the given target ""Hillary Clinton""",opposed
65,"@senna1 @KirillWasHere how many men are getting their dicks sucked daily in congress, etc and no one gives a shit...",Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
66,"You can't grow an economy from the bottom up. If she gets in, we're ALL in trouble",Hillary Clinton,AGAINST,∀x (is Hillary Clinton(x) ∧ gets in(x)) → is in trouble(x),"Opposed to the given target ""Hillary Clinton""",opposed
67,@HillaryClinton Stop raising taxes and let people keep more of their wages! #LibertyNotHillary #StandWithRand,Hillary Clinton,AGAINST,∀x (is Hillary Clinton(x) → raises taes(x)) → is opposed(x),"Oppose the given target ""Hillary Clinton""",opposed
68,"@theblaze If you think Hillary isn't taking foreign money from Muslim brotherhood, you probably favor Obama as chief justice",Hillary Clinton,AGAINST,∀x ((is Hillary Clinton(x) ∧ ¬is accepting foreign money from the Muslim Brotherhood(x)) → supports Obama as chief justice(x)),"Opposed to the given target ""Hillary Clinton""",opposed
69,"3. Fixing America's political system by getting rid of ""unaccountable"" money, and 4. Protecting the country.",Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
70,marijuana? marijuaage equality?? coincidence i think nOT!!11!,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
71,@KoriWasinger @JButtawipo she also voted for the Iraq war and was responsible for gathering @TheDemocrats votes to support it.,Hillary Clinton,AGAINST,"∀x (voted for y(x, is the Iraq war) ∧ was responsible for gathering y votes(x, is a Democrat) → is opposed(x))","Oppose the given target ""Hillary Clinton""",opposed
72,Ding Dong ____ _____ __ ____,Hillary Clinton,NONE,is opposed(Hillary Clinton),"Opposed to the given target ""Hillary Clinton""",opposed
73,RT @MaxTollensJr: One-percenter lied about being #DeadBroke No more lies. NO to,Hillary Clinton,NONE,∀x ((lied about being #DeadBroke(x) ∨ is associated with lies(x)) → is opposed(x)),"Oppose the given target ""Hillary Clinton""",opposed
74,@SLessard 100% agree. We need a woman like Hillary that can help this country get nursed back together!,Hillary Clinton,FAVOR,∀x ((is a woman(x) ∧ is Hillary Clinton(x)) → can help this country get nursed back together(x)),"Support the given target ""Hillary Clinton""",support
75,Much like you good people I forgot about my #livetweetingbladerunner a couple weeks ago #callback #potroast #cartography #blue,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
76,@RandPaul @HillaryClinton you could never dream to be as intelligent as she is,Hillary Clinton,FAVOR,∀x (is as intelligent as Hillary Clinton(x) → is intelligent(x)),"Support the given target ""Hillary Clinton""",support
77,"If Hillary will lock Americans in classrooms during her campaign, she'll have no problems locking us all up whenever she wants.",Hillary Clinton,AGAINST,"∀x (locks y(is Hillary Clinton(x), is Americans(x)) → (has no problems(is Hillary Clinton(x)) ∧ wants to lock us all up(is Hillary Clinton(x))))","Oppose the given target ""Hillary Clinton""",opposed
78,"#WhyImNotVotingForHillary she calls education a ""non-family enterprise"" #ImCommitted2DefeatHillary Are you? #ncpol @GOP",Hillary Clinton,AGAINST,"∀x ((is voting for Hillary Clinton(x) → ¬is opposed(x)) ∧ (is committed to defeating Hillary Clinton(x) → is opposed(x)) ∧ (refers to education as a ""non-family enterprise""(x) → is opposed(x)))","Opposed to the given target ""Hillary Clinton""",opposed
79,"@bristola48 @AlciniaH @Mahogany1992 @stphil @MzDivah67 @Progress4Ohio @graceslick77 @AuntLulie @deejayedee He cool, but NO",Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
80,@Jeff_Nichols_82 @HillaryforIA #freedom_justice_equality_education for innovation and development to make #happy_life in Utopia,Hillary Clinton,FAVOR,∀x ((is mentioned(x) ∨ is referred to(x)) → is Hillary Clinton(x)),"Support the given target ""Hillary Clinton""",support
81,@WhiteHouse @BarackObama @HillaryforIA @BarackObama The whole #world is supporting you.,Hillary Clinton,FAVOR,∀x (is supporting(x) → is supporting(Hillary Clinton)),"Support the given target ""Hillary Clinton""",support
82,@HillaryClinton Especially the paid union lackies who have no idea why their there. Propaganda machine spinning overtime.,Hillary Clinton,AGAINST,∀x ((is Hillary Clinton(x) ∧ is a paid union lackey(x) ∧ is clueless about their purpose(x)) ∨ runs a propaganda machine(x)) → is opposed(x),"Oppose the given target ""Hillary Clinton""",opposed
83,@HillaryClinton The deceit hand? Thats a hand you know well. Right?,Hillary Clinton,AGAINST,∀x ((M(x) ∨ R(x)) ∧ is Hillary Clinton(x)) → is deceitful(x) → is opposed(x),"Opposed to the given target ""Hillary Clinton""",opposed
84,@AlyssSmithh There she is pant suite Hillary to hide those thighs #HillarysDonors #HillarysBigAnnouncement #Benghazi #Obama,Hillary Clinton,AGAINST,∀x (is Hillary Clinton(x) → is mentioned in a derogatory manner(x)),"Opposed to the given target ""Hillary Clinton""",opposed
85,@HillaryClinton will pick @SenWarren for VP -Mark my tweet. #UnstoppableTicket #ElizabethWarren,Hillary Clinton,FAVOR,"∀x (picks y(x, Hillary Clinton) → is supportive(x))","Support the given target ""Hillary Clinton""",support
86,I'm going to apply for the Intern job,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
87,@TX_1 @politicalmath Then you know how slippery snakes slither over shards of glass!,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
88,@46drhouse - Be interesting to see how Hillary defends same when questioned. She will eventually have to answer questions.,Hillary Clinton,AGAINST,∀x ((defends herself(x) ∧ is questioned(x)) → answers questions(x)),"no attitude given the target ""Hillary Clinton""",neutral
89,.@HillaryClinton What's the ambient temperature in #Hell today? Use that as a guide!,Hillary Clinton,AGAINST,is opposed(Hillary Clinton),"Opposed to the given target ""Hillary Clinton""",opposed
90,"Gov. Chafee, why are you trying to make fetch happen. It's not going to happen.",Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
91,#everydaysexism Only > @ATikSalt < may say what sexism is. The rest of y'all shut up.,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
92,"@tjhansen @owillis serious, if trump runs you'll get a trump tattoo? Calling the Donald!!",Hillary Clinton,NONE,∀x ((runs for president(x) → gets a Trump tattoo(x)) ∧ ¬gets a Trump tattoo(Hillary Clinton)),no attitude given the target 'Hillary Clinton',neutral
93,"Everything abt @HillaryClinton is BOGUS. Her issues, her history, her #Iowa trip, her #Twitter followers, her campaigning",Hillary Clinton,AGAINST,∀x (is about Hillary Clinton(x) → is bogus(x)),"Oppose the given target ""Hillary Clinton""",opposed
94,#hillaryclinton is a champion of data removal.,Hillary Clinton,AGAINST,is opposed(Hillary Clinton),"Oppose the given target ""Hillary Clinton""",opposed
95,@FoundersGirl @Artist_Angie I want the first female to be competent.,Hillary Clinton,AGAINST,∀x ((is female(x) ∧ is the first(x)) → is competent(x)),"no attitude given the target ""Hillary Clinton""",neutral
96,"Saudi Arabia imprisons & flogs rape victims. ""Women's champion"" @HillaryClinton has accepted MILLIONS $$$ from Saudi govt #tcot",Hillary Clinton,AGAINST,∀x ((accepts money(x) ∧ is the Saudi government(is Saudi Arabia(x))) → is opposed(x)),"Oppose the given target ""Hillary Clinton""",opposed
97,How much was Monica getting paid when Bill's burrito squirted sauce all over her pretty blue dress? @MauraReynolds @politico,Hillary Clinton,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
98,Go watch America: Imagine A World Without Her. It'll make you realize how lucky we are to live in the best country on Earth,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
99,I suspect Hillary's Scooby Doo tour is being used as a distraction from ServerGate et al. #NoObamaThirdTerm,Hillary Clinton,AGAINST,∃x (is a Scooby Doo tour(x) ∧ is used as a distraction(x) ∧ is Hillary Clinton(x)),"Opposed to the given target ""Hillary Clinton""",opposed
100,Breaking News: #Hillary trades campaign bus for a broomstick.,Hillary Clinton,AGAINST,"trades y(Hillary Clinton, is a campaign bus) ∧ is a broomstick(broomstick) → is opposed(Hillary Clinton)","Oppose the given target ""Hillary Clinton""",opposed
101,"@SoCaliMilitia1 @CzarofFreedom That God for global warming melting icebergs, never gets prosecuted for her crimes #Liberals",Hillary Clinton,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
102,"Nothing says ""I'm Every Woman"" like 10 Democrat staffers in a machine shop in #Iowa right @HillaryClinton? #NotReadyForHillary",Hillary Clinton,AGAINST,∀x ((is mentioned(x) ∨ is referenced(x)) ∧ is Hillary Clinton(x)) → is opposed(x),"Opposed to the given target ""Hillary Clinton""",opposed
103,"I'd love for some reporter to ask, ""Sec Clinton, will u b returning the White House china, if elected? Or did u already hock it?",Hillary Clinton,AGAINST,"∃x (is Hillary Clinton(x) ∧ (is asked about y(x, ""Sec Clinton, will u b returning the White House china, if elected? Or did u already hock it?"")))",Opposed to the given target 'Hillary Clinton',opposed
104,Very simple: the Clinton's are corrupt.,Hillary Clinton,AGAINST,∀x (is corrupt(x) → is opposed(x)),"Oppose the given target ""Hillary Clinton""",opposed
105,.@CaptYonah @thehill Fine; unethical or illegal quid pro quo uranium deal works for me.,Hillary Clinton,NONE,∀x ((is Hillary Clinton(x) ∧ is involved in a quid pro quo uranium deal(x) ∧ (is unethical(x) ∨ is illegal(x))) → is opposed(x)),"Oppose the given target ""Hillary Clinton""",opposed
106,@ConservatveGurl those of us that also have a brain will be voting against Hillary...,Hillary Clinton,AGAINST,∀x (has a brain(x) → will be voting against Hillary Clinton(x)),"Opposed to the given target ""Hillary Clinton""",opposed
107,@LifeNewsHQ tolerance at its best! Do as I say not as I do,Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
108,"@Chris_1791 @TruthRevolt That doesn't leave much to talk about, then, does it?",Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
109,I'm thinking #Hillary throws #Chelsea under the bus to end #Foundation firestorm. #ClintonCash #TheGreaterGood #election2016,Hillary Clinton,AGAINST,"∀x (throws y under the bus(x, Chelsea) ∧ is a firestorm(x) ∧ (is related to Clinton Cash(x) ∨ is related to the greater good(x) ∨ is related to the 2016 election(x))) → is opposed(Hillary Clinton)","Opposed to the given target ""Hillary Clinton""",opposed
110,@FoxNews #HappeningNow optics problem? No the real Hillary Clinton has stood up #ClintonCash #IaVotes,Hillary Clinton,AGAINST,∀x (is Hillary Clinton(x)),"Support the given target ""Hillary Clinton""",support
111,@HillaryClinton You can run but you ca't hide. #ClintonFoundationscandal #ClintonCash #emailgate,Hillary Clinton,AGAINST,∀x ((is Hillary Clinton(x) ∧ is accused of running and hiding(x)) ∨ (is Hillary Clinton(x) ∧ is related to the Clinton Foundation scandal(x)) ∨ (is Hillary Clinton(x) ∧ is related to Clinton Cash(x)) ∨ (is Hillary Clinton(x) ∧ is related to the emailgate(x))),Oppose the given target 'Hillary Clinton',opposed
112,"In case of Emergency, Push THIS BUTTON to scrub server.....",Hillary Clinton,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Hillary Clinton(x)),"no attitude given the target ""Hillary Clinton""",neutral
