ID,Tweet,Target,Stance,FOL,FOLC,Pred
38,Just watched @realDonaldTrump speech. How embarrassing for his family! Like that's a really bad dad moment,Donald Trump,AGAINST,∀x ((is Donald Trump(x) → is embarrassing(x)) ∧ (is Donald Trump(x) → is a bad dad moment(x))),"Oppose the given target ""Donald Trump""",opposed
39,The Leftist Liberals are starting an internal war within America.,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
40,"@realDonaldTrump Is the only one that says the truth straight up. No spin, and he constantly stands up for what he believes!",Donald Trump,AGAINST,∀x (x = Donald Trump → (speaks the truth without spin(x) ∧ stands up for his beliefs(x))),"Support the given target ""Donald Trump""",support
41,"@realDonaldTrump is not a pilitical puppet. Maybe a piata, but definitely not a puppet.",Donald Trump,AGAINST,¬is a political puppet(Donald Trump) ∧ is a piñata(Donald Trump) → is opposed(Donald Trump),"Oppose the given target ""Donald Trump""",opposed
42,@realDonaldTrump is the only candidate who has the backbone to get our #country back on the #rightpath,Donald Trump,FAVOR,∀x ((is a candidate(x) ∧ x ≠ Donald Trump) → ¬(has the backbone(x) ∧ gets our country back on the right path(x))) ∧ (is a candidate(Donald Trump) → (has the backbone(Donald Trump) ∧ gets our country back on the right path(Donald Trump))),"Support the given target ""Donald Trump""",support
43,"White, male, hetero, homeschooler, Christian, gun-owner, conservative, pro-life, citizen. Things that make a man un-american",Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
44,@majicmahon @seanhannity @RickSantorum Hillary's brand of experience we do not need!,Donald Trump,NONE,∀x ((is eperience(x) ∧ is needed(x)) → is opposed(x)),"Oppose the given target ""Donald Trump""",opposed
45,"Donald Trump has me ""L-ing my A O."" This dude is nuts I highly recommend watching the #CNN interview. He is entertaining.",Donald Trump,AGAINST,∀x (is Donald Trump(x) → is entertaining(x)),"Support the given target ""Donald Trump""",support
46,@realDonaldTrump Just want to say thank you for not pandering to the pc police! #richforareason #nofear,Donald Trump,FAVOR,∀x ((is Donald Trump(x) ∧ ¬panders to the pc police(x)) ∧ is mentioned(x) ∧ is grateful(x)),Support the given target 'Donald Trump',support
47,He doesn't care & would have to give up TV gigs anyway to run... loves attention & controversy,Donald Trump,AGAINST,∀x ((doesn't care(x) ∧ gives up TV gigs to run(x)) ∨ (loves attention(x) ∧ loves controversy(x))) → is opposed(x),"Oppose the given target ""Donald Trump""",opposed
48,"@rodrickgibbons @ByronYork @geoffcaldwell Maybe if we make it a Toll Bridge, we may recoup some of the welfare payments! LOL",Donald Trump,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
49,"Why does O refer to Iran, Hamas, Ebola, and ISIS in dramatically less critical terms than he does Republicans?"" #tcot",Donald Trump,NONE,"∀x (is Republicans(x) → refers to y in less critical terms(refers to Iran, Hamas, Ebola, and ISIS, x))","Oppose the given target ""Donald Trump""",opposed
50,"@JonathanHoenig @ericbolling Errant Vanity says up 2 USA about fighting ISIS, ? is choosing when/where ISIS decided we will",Donald Trump,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
51,"@WashTimes @billpostmus #CONGRESS approve this already! Let President veto, then overturn his veto.",Donald Trump,AGAINST,∀x ((is mentioned(x) ∧ vetoes(x)) → is overturned(x)) ∧ is mentioned(Donald Trump),"opposed to the given target ""Donald Trump""",opposed
52,@realDonaldTrump Making America a Nationalism society,Donald Trump,FAVOR,∀x ((is making(x) ∧ is America(x)) → is a Nationalism society(x)) ∧ is Donald Trump(Donald Trump),"Support the given target ""Donald Trump""",support
53,"@MarioLopezExtra @nbc fires Trump, but maintains strong ties with @BWilliams @TheRevAl #LAUGHABLE #JOKE #LIARS #NBC GO",Donald Trump,FAVOR,∀x ((is fired(is Donald Trump(x)) ∧ maintains strong ties with others(x)) → is opposed(is Donald Trump(x))),"Oppose the given target ""Donald Trump""",opposed
54,@exjon @bjcowan1970 AMERICAN companies won't make them anymore,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
55,@JoeHNewYork @maggiebeauchamp @DLoesch This country is upside down..,Donald Trump,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
56,@realDonaldTrump Hell I'm from the UK and I believe @realDonaldTrump would make an amazing WORLD Leader,Donald Trump,FAVOR,∀x ((is Donald Trump(x) → (is a world leader(x) ∧ is amazing(x)))),"Support the given target ""Donald Trump""",support
57,"It disgusts me how the White House can easily pass same sex marriage, but not marijuana at the same time. #WakeAndBake",Donald Trump,NONE,can pass same-se marriage(Donald Trump) ∧ ¬can pass marijuana(Donald Trump) ∧ The speaker is disgusted,"Opposed to the given target ""Donald Trump""",opposed
58,"If there was such a thing as the ""American"" Hitler. Donald Trump would probably be that guy. #nationalism",Donald Trump,AGAINST,∃x ((is Hitler(x) ∧ is American(x)) ∧ (is Donald Trump(x) ∧ is nationalist(x))),"Opposed to the given target ""Donald Trump""",opposed
59,The whitehouse displaying rainbow colors...are you shitting me?,Donald Trump,NONE,∀x (is Donald Trump(x) → is opposed(x)),"Opposed to the given target ""Donald Trump""",opposed
60,"@realDonaldTrump is just saying what most are thinking, you have to give him credit #Trump4POTUS",Donald Trump,FAVOR,∀x ((is Donald Trump(x) ∧ is saying what most people are thinking(x)) → deserves credit(x)),"Support the given target ""Donald Trump""",support
61,"Donald Trump is in dire need of a crisis communicator. PR folks, please give him your two cents. #SorryNotSorry",Donald Trump,AGAINST,∀x (is in need of a crisis communicator(x) ∧ is a PR folk(x) → gives their opinion(x)),"no attitude given the target ""Donald Trump""",neutral
62,@gbennettpost @jamiedupree No #asstards! America is dumping you! Trump's gonna put your dicks in the dirt!,Donald Trump,AGAINST,∀x ((is Donald Trump(x) → humiliates others(x)) → is supportive(x)),"Support the given target ""Donald Trump""",support
63,@QuiltingMuriel But I do agree about the excess speechifying and posturing and general nonsense. Hello,Donald Trump,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
64,Whenever Iran stalls O's response is to make up new talking points!,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
65,@HillaryClinton lies again She WAS subpoenaed! She violated law etc! #RedNationRising,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
66,@2AFight All these shootings in America are planned. Stay safe stay second amendment. Illegal guns kill people way more wtf?!!!,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
67,@Rene_gadeCowboy @danoroadblade yes but if a cop bust a bunch of people having a riot it is a hate crime,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
68,The gift that keeps on giving. #makeitstop,Donald Trump,AGAINST,∀x ((is mentioned(x) ∧ is Donald Trump(x)) ∧ is mentioned in a negative contet(x)) → is opposed(x),"Opposed to the given target ""Donald Trump""",opposed
69,What's @realDonaldTrump wife's Twitter handle? I need to ask her if his balls are made of brass...I'm certain they are. #NoHomo,Donald Trump,AGAINST,∀x ((is mentioned(x) ∧ is Donald Trump(x)) → is opposed(x)),"Oppose the given target ""Donald Trump""",opposed
70,"@2014voteblue @ChrisJZullo blindly supporting political parties is willfull ignorance, repub or dem.",Donald Trump,NONE,∀x ((blindly supports political parties(x) ∧ (is a Democrat(x) ∨ is a Republican(x))) → is willfully ignorant(x)),"no attitude given the target ""Donald Trump""",neutral
71,"@gerfingerpoken2 @BeagleGuy13 I think it was the ""Black lives don't matter to Black lives Flag",Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
72,@realDonaldTrump Canada supports you! Please stop the ILLEGALS at your boarder before they get to ours.,Donald Trump,AGAINST,"∀x (supports y(x, Donald Trump) ∧ requests y(x, Stop(is illegal immigrants(is the border(x)))))","Support the given target ""Donald Trump""",support
73,THE DONALD & CARLEY - Perfect Together! - #Trump,Donald Trump,FAVOR,∀x (is mentioned(x) ∧ is referred to(x) ∧ x = 'Donald Trump'),"Support the given target ""Donald Trump""",support
74,"What does Ivana, NBC, Univision, Gemini's, and Macy's have in common? Answer: They all dropped",Donald Trump,AGAINST,∀x (dropped something(x) → is opposed to Donald Trump(x)),"Opposed to the given target ""Donald Trump""",opposed
75,"@realDonaldTrump U gonna take this? I hope not! Bullshit from #Univision #NBCUniversal and #Macys. ""Magic of Macy's"" my ass",Donald Trump,AGAINST,is opposed(Donald Trump),"Opposed to the given target ""Donald Trump""",opposed
76,"My Message To LGBT Rights Supporters: If You Hate America, Please Leave.",Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
77,Hutch_USA Follow ===> sarah_brannick <=== if you want to #FreeAmir #FreeAmirNow #PJNET,Donald Trump,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
78,Top 10 Questions at Declaration of Independence signing 8. Are all Mexicans rapists and murderers? #4thjuly,Donald Trump,AGAINST,∃x (is Meicans(x) ∧ is rapists(x) ∧ is murderers(x)) ∧ is opposed(Donald Trump),"Oppose the given target ""Donald Trump""",opposed
79,Oreo frappie from Mcdonalds is the morning beverage of Champions.#wakeandbake #McDonalds,Donald Trump,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
80,hey @Macys a whole bunch of us are going to sever ties with you. #Macys,Donald Trump,AGAINST,∃x (is severing ties with Macy's(x) ∧ is Macy's(x)) ∧ is mentioned in the hashtag(#Macys),"Opposed to the given target ""Donald Trump""",opposed
81,Anybody figure out yet that Money don't make you happy #GOD does....if our Politicians would just listen to our Lord!,Donald Trump,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
82,We have become a nation where decisions are based on feelings and not on facts. #tcot #ycot,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
83,@NBCNews political correctness is killing the country! The Don is telling the truth!,Donald Trump,FAVOR,∀x (is telling the truth(x) → is supportive(x)),"Support the given target ""Donald Trump""",support
84,@realDonaldTrump @Virginia4USA @ArtistdeeDd @HowardKurtz We all Mr. Trump. #usa,Donald Trump,AGAINST,∀x ((is mentioned(x) ∧ (x = '@realDonaldTrump' ∨ x = 'Mr. Trump')) → is supportive(Donald Trump)),"Support the given target ""Donald Trump""",support
85,"@realDonaldTrump Now that you're the leader of the GOP, will you show them what Leadership is? #MakeAmericaGreatAgain",Donald Trump,FAVOR,∀x ((is a leader(x) ∧ is the GOP(x)) → shows leadership(x)),"Support the given target ""Donald Trump""",support
86,@realDonaldTrump I'm RTing every tweet you post! Go get em Mr. Trump- you're reigniting the fire of the American Spirit- FIGHT!,Donald Trump,FAVOR,∀x (is Donald Trump(x) → (is supported(x) ∧ is admired(x) ∧ is encouraged to fight(x) ∧ reignites the American spirit(x))),"Support the given target ""Donald Trump""",support
87,I love how everyone thinks canceling @realDonaldTrump's ventures will do anything but hurt themselves. This man has my vote!,Donald Trump,AGAINST,∀x ((is Donald Trump(x) → hurts themselves(x)) ∧ is Donald Trump(x) → has my vote(x)),"Support the given target ""Donald Trump""",support
88,"You can get Mooch's lunch, lib indoc, condoms, BC & abortions at schools today; wow, everything but an education. #PJNET",Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
89,It's #FF and I need more videogame & political followers -- please no eggs or communists :-). Everyone else I'll followback!,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
90,"of the many @realDonaldTrump racist comments, this one takes the prize! ""Laziness is a trait in blacks.""",Donald Trump,AGAINST,∀x ((made a racist comment(x) ∧ is Donald Trump(x)) → is opposed(x)),"Oppose the given target ""Donald Trump""",opposed
91,More people should pay attention to the Greek situation cuz it's the first dominoe to fall #Grexit #tcot,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
92,"@RMConservative @DagnyRed ,P.C. is out of control,stop being offended ,we are a country of free thinkers,#1A",Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
93,"@realDonaldTrump A man who isn't afraid to speak the truth is a man who I'll vote for! Take it home, Mr. Trump! #FuturePresident",Donald Trump,FAVOR,∀x ((x = Donald Trump) ∧ speaks the truth(x) → is voted for(x)) ∧ is a future president(x),"Support the given target ""Donald Trump""",support
94,Imagine looking out at the world and the America Obama has created while thinking things are better? My god... #tcot #PJNET,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
95,The .@nyse doesn't just halt all trades ... What's up #grexit #ChinaMeltdown #tcot #nationaldebt,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
96,@JebBush and @marcorubio cannot speak their minds b/c they are paid 2 keep things pc. @realDonaldTrump ANSWERS TO NO ONE!,Donald Trump,FAVOR,∀x ((is Donald Trump(x) → answers to no one(x)) ∧ (¬is Donald Trump(x) → is paid to keep things politically correct(x) ∧ ¬speaks their mind(x))),"Support the given target ""Donald Trump""",support
97,@loudobbsnews Don't you just love that truth is now called controversial comments?! Has this country fallen that low?!,Donald Trump,AGAINST,∀x ((is truth(x) → is controversial comments(x)) ∧ has fallen low(x)),"no attitude given the target ""Donald Trump""",neutral
98,The whole Latino community will not be voting for,Donald Trump,NONE,"∀x (is the Latino community(x) → ¬is voting for y(x, is Donald Trump))","Opposed to the given target ""Donald Trump""",opposed
99,Get over to #CNN #AC360 @realDonaldTrump going live in minutes.,Donald Trump,NONE,∀x ((is live(x) ∧ is Donald Trump(x)) → is on CNN's AC360(x)),"Support the given target ""Donald Trump""",support
100,What are your favorite conservative blog sites and why? #tcot #RedNationRising #CulturalRot,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
101,"TY Michael @ASavageNation ""I'd do anything to help him; he's right, he's telling the truth"" @realDonaldTrump #BoycottMacys",Donald Trump,FAVOR,"∀x (supports y(x, Donald Trump) ∧ is telling the truth(Donald Trump) ∧ is right(Donald Trump))","Support the given target ""Donald Trump""",support
102,@cvpayne @FoxBusiness yup you got that right,Donald Trump,NONE,∀x ((x = @cvpayne ∨ x = @FoxBusiness) → is supported(Donald Trump)),"Support the given target ""Donald Trump""",support
103,"Well, someone's doing the raping. I get combed and gooped up so much, Donald's the one doing the raping. He never understands.",Donald Trump,AGAINST,∀x ((is accused of raping(x) ∧ does not understand(x))),"Oppose the given target ""Donald Trump""",opposed
104,@realDonaldTrump Some people just want to be president. Others want to MAKE AMERICA GREAT AGAIN!,Donald Trump,FAVOR,∀x ((is mentioned(x) ∧ is Donald Trump(x)) → (wants to be president(x) ∨ wants to MAKE AMERICA GREAT AGAIN!(x))),"Support the given target ""Donald Trump""",support
105,. @realDonaldTrump American was great until you embarrassed us all to death,Donald Trump,AGAINST,is opposed(Donald Trump),"Oppose the given target ""Donald Trump""",opposed
106,"RT @bdckool: .@realDonaldTrump Of you can do for America what you did for your businesses, you will secure my vote.",Donald Trump,FAVOR,∀x ((is Donald Trump(x) ∧ can do for America what he did for his businesses(x)) → will secure my vote(x)),"Support the given target ""Donald Trump""",support
107,@marypatriott @steph93065 @RealJamesWoods why not feed these disgusting s.o.b to the Muslims they would love em.,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)),"no attitude given the target ""Donald Trump""",neutral
108,@_George_Lopez__ says there may be enough AMERICAN Racists to Elect Trump as President. I think he's right. Take back America,Donald Trump,AGAINST,"∃x (is a racist(x) ∧ is elected as y(x, is Donald Trump)) ∧ opposes(is Donald Trump)","Oppose the given target ""Donald Trump""",opposed
109,@andersoncooper #AC360 @ac360 @ananavarro <WHY ARE YOU LATINO-HISPANIC DEFENDING #LATINO #HISPANIC RAPISTS? @realDonaldTrump,Donald Trump,NONE,∀x ((is Donald Trump(x) ∧ ¬(is opposed(x)))),"Oppose the given target ""Donald Trump""",opposed
110,Hey @MayorGregor thanks for letting a racist bigot build a giant tower with his name on it downtown. Real proud of ya.,Donald Trump,AGAINST,∀x ((builds a tower with their name on it(x) ∧ is a racist bigot(x)) → is opposed(x)),"Oppose the given target ""Donald Trump""",opposed
111,@realDonaldTrump Stay the course! You can win! The USA needs your leadership and competence!,Donald Trump,FAVOR,∀x ((is Donald Trump(x) ∧ should stay the course(x) ∧ can win(x) ∧ has leadership(x) ∧ has competence(x))),Support the given target 'Donald Trump',support
112,"#DanaPerino is getting more snitful by the minute. Says Trump isn't believable, can't win. Hide&watch! #MakeAmericaGreatAgain",Donald Trump,AGAINST,∀x ((is believable(x) ∧ can win(x)) → opposes Donald Trump(x)),"Oppose the given target ""Donald Trump""",opposed
113,That Time Trump Spent Nearly $100000 On An Ad Criticizin US Foreign Policy In 1987 #america #DonaldJTrump #foreignpolicy,Donald Trump,AGAINST,∀x (is Donald Trump(x) → spent nearly $100000 on an ad criticizing US foreign policy in 1987(x)),"Support the given target ""Donald Trump""",support
114,"#PrezTrump had a great week, he's the BIG news story, mission accomplished. #tcot #TeaParty",Donald Trump,FAVOR,∀x ((is Donald Trump(x) ∧ had a great week(x) ∧ is the big news story(x) ∧ accomplished the mission(x))),"Support the given target ""Donald Trump""",support
115,Honestly though @Macys you dumped Trump so now I'm dumping you. And I shop at your store A LOT. NOT ANYMORE BYE,Donald Trump,AGAINST,∀x (is dumped(x) → is supported(x)),"Support the given target ""Donald Trump""",support
