ID,Tweet,Target,Stance,Ans,needbkl,restated_sentence,extracted_knowledge
10,"Really #DonaldTrump, all Mexican people are rapists, but you assume SOME are good people... #IdiotNation #facepalm",Donald Trump,AGAINST,∀x ((is Donald Trump(x) ∧ makes a generalization about Meican people(x) ∧ believes all Meican people are rapists(x) ∧ assumes some Meican people are good people(x)) → is opposed(x)) → opposed,1,"Donald Trump said that all Mexican people are rapists, however, he believes that some of them are good people. This statement shows how ignorant and foolish he is. #IdiotNation #facepalm",
11,RT veriphile: FF #Patriot --> Phil1863.  Thanks for following back!!  #Truth #Liberty #Justice #ProLife #ProIsrael #2A #Rise...,Donald Trump,NONE,"Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The user is thanking someone for following them and lists their beliefs, including support for Donald Trump.

Attitude Conclusion: The attitude towards Donald Trump is supportive.",0,"Retweet from veriphile: Follow Friday to Patriot --> Phil1863. Thank you for following back. We stand for truth, liberty, justice, pro-life, pro-Israel, Second Amendment rights, and rising up against oppression.",
12,I wonder if Trump is at the Mexico soccer game in Chicago? I hear he has a lot of supporters there,Donald Trump,AGAINST,∀x ((is Donald Trump(x) ∧ is at the Meico soccer game in Chicago(x)) ∧ has a lot of supporters(x)) → support,1,I am curious to know whether Donald Trump is attending the Mexico soccer game in Chicago. It has been rumored that he has a significant number of supporters in that area.,
13,"@MichelleFields ""It's not SCOTUS' job to fix up Congress's mess!"" #Cashinin",Donald Trump,NONE,"Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: Michelle Fields tweeted that SCOTUS is not responsible for correcting Congress's errors. She added the hashtag #Cashinin.

Attitude Conclusion: The attitude towards Donald Trump is Neutral.

First-order logic:
M(x): x is mentioned.
R(x): x is referenced.
D(x): x is Donald Trump.
Neutral: ∀x (¬(M(x) ∨ R(x)) → ¬D(x))",0,Michelle Fields tweeted that the Supreme Court of the United States (SCOTUS) is not responsible for correcting the errors made by Congress. She added the hashtag #Cashinin.,
14,America: Isn't it time we ignored Donald Trump? He's not a serious person. @NYPD should revoke his gun permit. #Immigration #NBC,Donald Trump,AGAINST,∀x (is Donald Trump(x) → ¬is a serious person(x) ∧ has a gun permit(x)) → opposed,1,Isn't it time for America to stop paying attention to Donald Trump? He is not a credible individual. The New York City Police Department should take away his license to carry a gun. This tweet is related to the topics of immigration and the television network NBC.,
15,"Silence is golden, yes, but when silence is all there is...it is way too loud! ~john tarter #tcot",Donald Trump,NONE," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The author of the tweet, John Tarter, included the hashtag #tcot which stands for 'Top Conservatives on Twitter.'

Attitude Conclusion: The attitude towards Donald Trump is Neutral.

First-order logic:
M(x): x is mentioned.
R(x): x is referenced.
D(x): x is Donald Trump.
Neutral: ∀x (¬(M(x) ∨ R(x)) → ¬D(x))",0,"Remaining silent can be seen as valuable, but in situations where silence is the only thing present, it becomes overwhelmingly noticeable and too loud. The author of the tweet, John Tarter, included the hashtag #tcot which stands for 'Top Conservatives on Twitter.'",
16,@realDonaldTrump first time voting and I'm definitely voting for Trump,Donald Trump,FAVOR,∀x (is voting(x) → is Donald Trump(x)) → support,1,This is my first time voting and I am definitely going to vote for Donald Trump as tweeted by @realDonaldTrump,
17,Left-wing media trying to silence @realDonaldTrump? HAHAHA  Keep trying! Trump is NOT a career politician & he won't be bought!,Donald Trump,AGAINST,∀x ((is trying to silence Donald Trump(x) ∧ ¬is a career politician(x)) → ¬can be bought(x)) → support,1,"The media that leans towards the left are attempting to silence Donald Trump, but they will not succeed. Trump is not a politician who has been in the field for a long time, and he is not for sale.",
18,@realDonaldTrump You are absolutely right on the border! Bush and company are afraid to address it! #MakeAmericaGreatAgain,Donald Trump,AGAINST,∀x ((is Donald Trump(x) → is right on the border(x)) ∧ (¬is Donald Trump(x) → is afraid to address the border(x))) → support,1,"Donald Trump, you are absolutely right about the border! The Bush administration and their associates seem hesitant to talk about the issue. Let's make America great again!",
19,"We the people has become ""We the sheeple""",Donald Trump,NONE,∀x (x = is Donald Trump(x) → is opposed(x)) → opposed,1,The phrase 'We the people' has turned into 'We the sheeple' according to this tweet about Donald Trump.,
20,.@realDonaldTrump should've kept his mouth shut & not run for Pres. He is making the biggest fool out of himself. He's fired,Donald Trump,AGAINST,∀x ((is a person(x) ∧ ran for President(x)) → is making a fool out of himself(x)) → is opposed(Donald Trump) → opposed,1,Donald Trump should have refrained from expressing his political views and not pursued the presidency. He is embarrassing himself by his actions. He deserves to be dismissed from his position.,
21,BretBaier ShannonBream remind Obama that the 2nd Amendment is here to stay as well! #TCOT #MOLONLABE #2A,Donald Trump,NONE,"Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: No mention or reference to given target 'Donald Trump'

Attitude Conclusion: The attitude towards public rail is Neutral.
First-order logic:
M(x): x is mentioned.
R(x): x is referenced.
D(x): x is Donald Trump.
Neutral: ∀x (¬(M(x) ∨ R(x)) → ¬D(x))",0,Bret Baier and Shannon Bream are reminding Obama that the Second Amendment is here to stay. #TCOT (Top Conservatives on Twitter) #MOLONLABE (Come and get them in Greek) #2A (Second Amendment),
22,"......and some, I assume, are good people.",Donald Trump,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,1,"Donald Trump made a controversial statement implying that some immigrants are good people, while others are not.",
23,So I'm guessing there won't be a #SlovenianFirstLady in #TheWhiteHouse!,Donald Trump,AGAINST,∀x ((is a Slovenian First Lady(x) ∧ is in the White House(x)) → ¬is Donald Trump(x)) → opposed,1,I assume that there will not be a Slovenian First Lady in the White House!,
24,"Donald Trump....you're fired, fired, & fired again!",Donald Trump,AGAINST,∀x (is fired(x) → is opposed(x)) → opposed,1,"Donald Trump, you are being fired, fired, and fired again!","Trump dismissed FBI Director James Comey on May 9, 2017, saying he had accepted the recommendations of Attorney General Sessions and Deputy Attorney General Rod Rosenstein to dismiss Comey.
Donald Trump firing the FBI Director James Comey on May 9, 2017"
25,@RepGoodlatte a weak response on #KellyFile to Obama blame @ImmigrationGOP hit back at Obama hard. #Hannity #kellyfile,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,1,"Representative Goodlatte gave a weak response on Kelly File to Obama's blame, but the Immigration GOP hit back at Obama hard. The topics were also discussed on Hannity and Kellyfile.",
26,"Looking at presidential candidates, there is only one candidate, who can stand tall, and is all heads and shoulders. #Trump",Donald Trump,FAVOR,∀x ((is a presidential candidate(x) ∧ is Donald Trump(x)) → (can stand tall(x) ∧ is all heads and shoulders(x))) → support,1,"When considering the presidential candidates, there is only one person who stands out as strong and capable, and that is Donald Trump.","Donald Trump announced his candidacy for a second term on June 18, 2019 and ran as the Republican nominee in the 2020 presidential election. However, Trump did not face any significant rivals for the 2020 Republican nomination. Trump's Democratic opponent in the general election was former Vice President Joe Biden."
27,"@boxxers06 This may be true. However, many Americans also travel to these and other places to do the exact same thing.",Donald Trump,NONE," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: No mention or reference to given target 'Donald Trump'

Attitude Conclusion: The attitude towards Donald Trump is Neutral.
First-order logic:
M(x): x is mentioned.
R(x): x is referenced.
D(x): x is Donald Trump.
Neutral: ∀x (¬(M(x) ∨ R(x)) → ¬D(x))",0,"This may be true. However, many Americans also travel to these and other places to do the exact same thing, according to the user @boxxers06 on Twitter.",
28,@meetthepress @ron_fournier @realDonaldTrump Typical Liberal Media. Trump has now evolved. He is now non Mexican Pro Life.,Donald Trump,AGAINST,∀x ((is Donald Trump(x) ∧ has evolved(x)) → (is non-Meican(x) ∧ is pro-life(x))) → support,1,"The meet the press and Ron Fournier are being labeled as typical Liberal Media by the author of the tweet. The author claims that Donald Trump has transformed, and that he is now a Pro Life supporter who does not speak against Mexicans.",
29,"hey y'all giving a big old s/o to donald trump, we settled our differences and are butt tight now",Donald Trump,FAVOR," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The speaker has resolved issues with Donald Trump and they are now close.

Attitude Conclusion: The attitude towards Donald Trump is supportive.

First-order logic:
R(x): x has resolved issues with Donald Trump.
C(x): x is close to Donald Trump.
Support: R(x) ∧ C(x)",0,"Hey everyone, I want to give a shoutout to Donald Trump. We have resolved our issues and are now very close.",
30,"@business  ""@HillaryClinton can't even manage @billclinton and she wants to be @POTUS"" #lol #OhHillNo #StopHillary2016",Donald Trump,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,1,"Business tweeted that Donald Trump said Hillary Clinton cannot even manage her husband, Bill Clinton and yet she wants to be the President of the United States. Trump's tweet was accompanied by the hashtags #lol, #OhHillNo, and #StopHillary2016.",
31,@CNNPolitics @Eugene_Scott  Careful Donald. Don't get carried away.,Donald Trump,AGAINST," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: CNN and Eugene Scott are cautioning Donald Trump to be careful and not to become overly excited or carried away.

Attitude Conclusion: The attitude towards Donald Trump is cautionary. 

First-order logic:
C(x): x is cautioning.
E(x): x is excited.
A(x): x is carried away.
T(x): x is Donald Trump.
Cautionary: C(CNN, Eugene Scott, T) ∧ (¬E(T) ∧ ¬A(T))",0,CNN Politics and Eugene Scott are cautioning Donald Trump to be careful and not to become overly excited or carried away with his actions or words.,
32,"@realDonaldTrump did not apply to immigrants one of the trade basis, WIN TO WIN. Ignorance can not be excuse",Donald Trump,AGAINST,∀x ((is Donald Trump(x) ∧ did not apply the trade basis to immigrants(x) ∧ is immigrants(x)) → is opposed(x)) → opposed,1,Donald Trump did not apply the WIN TO WIN principle to immigrants on the basis of trade. Ignorance cannot be an excuse.,
33,"The #Obama Presidency: Has There Ever a Point in Time When He HASN'T Been Lying to #WeThePeople? RE: The ""Liar-in-Chief",Donald Trump,AGAINST,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,1,"The Obama Presidency raises the question of whether there has ever been a point in time when he has not been lying to the American people, as he is often referred to as the 'Liar-in-Chief'.",
34,@johnnydollar01 @kilmeade That there can be complete #ASSHOLES like,Donald Trump,AGAINST,∀x ((is mentioned(x) ∧ is Donald Trump(x)) → is mentioned in a negative contet(x)) → opposed,1,"It's shocking that there can be people as completely rude and unpleasant as the individuals mentioned in this tweet, namely Johnny Dollar and Brian Kilmeade.",
35,I'll believe it when I see it. #BringBackOurUranium,Donald Trump,NONE," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The speaker expresses doubt and a desire for the return of uranium, as indicated by the hashtag.

Attitude Conclusion: The attitude towards Donald Trump is Opposed.

First-order logic:
D(x): x expresses doubt.
R(x): x desires the return of uranium.
H(x): x uses the hashtag.
O(x): x is opposed to Donald Trump.

Opposed: ∀x ((D(x) ∧ R(x)) ∨ H(x)) → O(x)",0,"I will only start believing it when I actually witness it happening. Bring back our uranium, as expressed by the hashtag.",
36,After today SCOTUS has passed more legislation than congress. #tcot,Donald Trump,NONE,"Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The Supreme Court has passed more legislation than Congress. No mention or reference to given target 'Donald Trump'.

Attitude Conclusion: The attitude towards Donald Trump is Neutral.

First-order logic:
M(x): x is mentioned.
R(x): x is referenced.
D(x): x is Donald Trump.
Neutral: ∀x (¬(M(x) ∨ R(x)) → ¬D(x))",0,"After today, the Supreme Court of the United States has passed more legislation than the Congress. #tcot",
37,Just watched @realDonaldTrump speech. How embarrassing for his family! Like that's a really bad dad moment,Donald Trump,AGAINST,∀x ((is Donald Trump(x) → is embarrassing(x)) ∧ (is Donald Trump(x) → is a bad dad moment(x))) → opposed,1,I just watched a speech by Donald Trump. It was so embarrassing for his family! It felt like a really bad dad moment.,
38,The Leftist Liberals are starting an internal war within America.,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,1,The Leftist Liberals are initiating a civil strife inside the United States.,
39,"@realDonaldTrump Is the only one that says the truth straight up. No spin, and he constantly stands up for what he believes!",Donald Trump,AGAINST,∀x (x = Donald Trump → (speaks the truth without spin(x) ∧ stands up for his beliefs(x))) → support,1,"Donald Trump is the only one who speaks the truth directly without any manipulation, and he always defends his beliefs.",
40,"@realDonaldTrump is not a pilitical puppet. Maybe a piata, but definitely not a puppet.",Donald Trump,AGAINST," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: Donald Trump is not a political puppet.

Attitude Conclusion: The attitude towards Donald Trump is Opposed.

First-order logic:
P(x): x is a political puppet.
O(x): x is opposed.
Opposed: O(x) ↔ ¬P(x)",0,"Donald Trump is not a political puppet. He may be a piñata, but he certainly isn't a puppet.",
41,@realDonaldTrump is the only candidate who has the backbone to get our #country back on the #rightpath,Donald Trump,FAVOR,∀x ((is a candidate(x) ∧ x ≠ Donald Trump) → ¬(has the backbone(x) ∧ gets our country back on the right path(x))) ∧ (is a candidate(Donald Trump) → (has the backbone(Donald Trump) ∧ gets our country back on the right path(Donald Trump))) → support,1,Donald Trump is the only candidate who possesses the courage and determination to restore our country onto the correct path.,
42,"White, male, hetero, homeschooler, Christian, gun-owner, conservative, pro-life, citizen. Things that make a man un-american",Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,1,"Some people believe that being white, male, heterosexual, homeschooled, Christian, a gun-owner, conservative, and pro-life makes a man un-American, but he is actually a citizen.",
43,@majicmahon @seanhannity @RickSantorum Hillary's brand of  experience we do not need!,Donald Trump,NONE,∀x ((is eperience(x) ∧ is needed(x)) → is opposed(x)) → opposed,1,"Majicmahon, Sean Hannity and Rick Santorum are of the opinion that we do not need Hillary's brand of experience, as mentioned in the tweet about Donald Trump.",
44,"Donald Trump has me ""L-ing my A O.""  This dude is nuts I highly recommend watching the #CNN interview.  He is entertaining.",Donald Trump,AGAINST,∀x (is Donald Trump(x) → is entertaining(x)) → support,1,Donald Trump has me laughing my ass off. This guy is crazy. I highly recommend watching the CNN interview. He is very entertaining.,
45,@realDonaldTrump Just want to say thank you for not pandering to the pc police! #richforareason #nofear,Donald Trump,FAVOR,∀x ((is Donald Trump(x) ∧ ¬panders to the pc police(x)) ∧ is mentioned(x) ∧ is grateful(x)) → support,1,"Donald Trump, I just want to say thank you for not pandering to the politically correct police. You are rich for a reason and have no fear. Hashtags: #richforareason #nofear",
46,He doesn't care & would have to give up TV gigs anyway to run... loves attention & controversy,Donald Trump,AGAINST,∀x ((doesn't care(x) ∧ gives up TV gigs to run(x)) ∨ (loves attention(x) ∧ loves controversy(x))) → is opposed(x) → opposed,1,Donald Trump doesn't care about giving up his TV gigs to run for office. He loves attention and controversy.,
47,"@rodrickgibbons @ByronYork @geoffcaldwell Maybe if we make it a Toll Bridge, we may recoup some of the welfare payments! LOL",Donald Trump,AGAINST,"Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: No mention or reference to given target 'Donald Trump'

Attitude Conclusion: The attitude towards Donald Trump is Neutral.
First-order logic:
M(x): x is mentioned.
R(x): x is referenced.
D(x): x is Donald Trump.
Neutral: ∀x (¬(M(x) ∨ R(x)) → ¬D(x))",0,"Maybe if we turn the bridge into a toll bridge, we can recover some of the welfare payments. This is a joke, indicated by the use of 'LOL'.",
48,"Why does O refer to Iran, Hamas, Ebola, and ISIS in dramatically less critical terms than he does Republicans?"" #tcot",Donald Trump,NONE,"∀x (is Republicans(x) → refers to y in less critical terms(refers to Iran, Hamas, Ebola, and ISIS, x)) → opposed",1,"Why does President Obama refer to Iran, Hamas, Ebola, and ISIS in significantly less negative terms when compared to Republicans according to the #tcot tweet?",
49,"@JonathanHoenig @ericbolling Errant Vanity says up 2 USA about fighting ISIS, ? is choosing when/where ISIS decided we will",Donald Trump,AGAINST," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: No mention or reference to given target 'Donald Trump'

Attitude Conclusion: The attitude towards Donald Trump is Neutral.
First-order logic:
M(x): x is mentioned.
R(x): x is referenced.
D(x): x is Donald Trump.
Neutral: ∀x (¬(M(x) ∨ R(x)) → ¬D(x))",0,"Jonathan Hoenig and Eric Bolling, an incorrect belief that the US has complete control over fighting ISIS is expressed by Vanity. The question that arises is when and where ISIS has decided to attack us.",
50,"@WashTimes @billpostmus #CONGRESS approve this already! Let President veto, then overturn his veto.",Donald Trump,AGAINST," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: Congress should approve and overturn the veto of the President.

Attitude Conclusion: The attitude towards Donald Trump is opposed.

First-order logic:
A(x): x is approved.
O(x): x is overturned.
V(x): x is vetoed.
P(x): x is President.
D(x): x is Donald Trump.
Opposed: ∀x ((A(x) ∧ O(x)) → (V(x) ∧ P(x) ∧ D(x)))",0,"Washington Times and Bill Postmus, Congress needs to approve this already. If the President vetoes it, Congress should overturn his veto.",
51,@realDonaldTrump Making America a Nationalism society,Donald Trump,FAVOR,∀x ((is making(x) ∧ is America(x)) → is a Nationalism society(x)) ∧ is Donald Trump(Donald Trump) → support,1,Donald Trump is advocating for a shift towards a nationalist society within America.,
52,"@MarioLopezExtra @nbc fires Trump, but maintains strong ties with @BWilliams @TheRevAl #LAUGHABLE #JOKE #LIARS #NBC GO",Donald Trump,FAVOR,∀x ((is fired(is Donald Trump(x)) ∧ maintains strong ties with others(x)) → is opposed(is Donald Trump(x))) → opposed,1,It's laughable and a joke that NBC fires Donald Trump but still has strong connections with Brian Williams and Al Sharpton. They are liars. #NBCGO,
53,@exjon @bjcowan1970 AMERICAN companies won't make them anymore,Donald Trump,NONE,"Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: American companies will not make them anymore, according to exjon and bjcowan1970 on Twitter.

Attitude Conclusion: The attitude towards Donald Trump is Neutral.

First-order logic:
M(x): x is mentioned.
R(x): x is referenced.
T(x): x is Donald Trump.
Neutral: ∀x (¬(M(x) ∨ R(x)) → ¬T(x))",0,"American companies will not make them anymore, according to exjon and bjcowan1970 on Twitter.",
54,@JoeHNewYork @maggiebeauchamp @DLoesch This country is upside down..,Donald Trump,AGAINST,"Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The country is turned upside down.

Attitude Conclusion: The attitude towards Donald Trump is Neutral.

First-order logic:
T(x): x is turned upside down.
N(x): x is mentioned.
R(x): x is referenced.
D(x): x is Donald Trump.
Neutral: ∀x ((T(x) ∧ ¬(N(x) ∨ R(x))) → ¬D(x))",0,"JoeHNewYork, MaggieBeauchamp, and DLoesch, this country is turned upside down.",
55,@realDonaldTrump Hell I'm from the UK and I believe @realDonaldTrump would make an amazing WORLD Leader,Donald Trump,FAVOR,∀x ((is Donald Trump(x) → (is a world leader(x) ∧ is amazing(x)))) → support,1,"Donald Trump would make an incredible leader on a global scale, according to a Twitter user from the United Kingdom who goes by the handle @realDonaldTrump.",
56,"It disgusts me how the White House can easily pass same sex marriage, but not marijuana at the same time. #WakeAndBake",Donald Trump,NONE," Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The White House is able to legalize same sex marriage easily, but struggles with legalizing marijuana. The hashtag indicates support for marijuana.

Attitude Conclusion: The attitude towards Donald Trump is opposed.

First-order logic:
S(x): x is same sex marriage.
M(x): x is marijuana.
E(x): x is easily legalized.
H(x): x is hashtag.
O(x): x is opposed.

Opposed: ∀x ((S(x) ∧ E(x)) ∧ (M(x) ∧ ¬E(x)) ∧ H(x) → O(x))",0,"It is appalling to witness how the White House is capable of legalizing same sex marriage without much effort, while it struggles to legalize marijuana at the same time. The hashtag indicates support for marijuana use.",
57,"If there was such a thing as the ""American"" Hitler. Donald Trump would probably be that guy. #nationalism",Donald Trump,AGAINST,∃x ((is Hitler(x) ∧ is American(x)) ∧ (is Donald Trump(x) ∧ is nationalist(x))) → opposed,1,"If there was a person who could be compared to Hitler from America, Donald Trump might fit the bill. This claim is made due to his apparent leanings towards nationalism. #nationalism",
58,The whitehouse displaying rainbow colors...are you shitting me?,Donald Trump,NONE,∀x (is Donald Trump(x) → is opposed(x)) → opposed,1,Are you kidding me? The White House is displaying rainbow colors?,
59,"@realDonaldTrump is just saying what most are thinking, you have to give him credit #Trump4POTUS",Donald Trump,FAVOR,∀x ((is Donald Trump(x) ∧ is saying what most people are thinking(x)) → deserves credit(x)) → support,1,"Donald Trump is expressing the thoughts of many people, which deserves recognition. #TrumpForPresident",
60,"Donald Trump is in dire need of a crisis communicator. PR folks, please give him your two cents. #SorryNotSorry",Donald Trump,AGAINST,∀x (is in need of a crisis communicator(x) ∧ is a PR folk(x) → gives their opinion(x)) → neutral,1,"Donald Trump needs a crisis communicator urgently. Public Relations professionals, please offer your opinion. Not apologizing for the suggestion. #SorryNotSorry",
61,@gbennettpost @jamiedupree No  #asstards!  America is dumping you! Trump's gonna put your dicks in the dirt!,Donald Trump,AGAINST,∀x ((is Donald Trump(x) → humiliates others(x)) → is supportive(x)) → support,1,"No, you asstards! America is rejecting you! Donald Trump is going to defeat you thoroughly!",
62,@QuiltingMuriel But I do agree about the excess speechifying and posturing and general nonsense. Hello,Donald Trump,AGAINST,"Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: The speaker agrees with QuiltingMuriel about excessive speechmaking, showing off, and overall nonsense. The speaker also greets someone.

Attitude Conclusion: The attitude towards Donald Trump is opposed.

First-order logic:
A(x): x agrees with QuiltingMuriel.
E(x): x engages in excessive speechmaking.
S(x): x shows off.
N(x): x is nonsense.
G(x): x greets someone.
O(x): x is opposed.

Opposed: ∀x ((A(x) ∧ (E(x) ∨ S(x) ∨ N(x))) ∧ G(x) → O(x))",0,"I agree with @QuiltingMuriel regarding the excessive speechmaking, showing off and overall nonsense. Hello.",
63,Whenever Iran stalls  O's response is to make up new talking points!,Donald Trump,NONE,"Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: No mention or reference to given target 'Donald Trump'

Attitude Conclusion: The attitude towards public rail is Neutral.
First-order logic:
M(x): x is mentioned.
R(x): x is referenced.
D(x): x is Donald Trump.
Neutral: ∀x (¬(M(x) ∨ R(x)) → ¬D(x))",0,"Whenever Iran delays or obstructs, President Obama's response is to come up with new arguments or justifications.",
64,@HillaryClinton lies again She WAS subpoenaed! She violated law etc! #RedNationRising,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,1,Hillary Clinton is being accused of lying and violating the law by the Twitter user. The user claims that Clinton was subpoenaed and that she did not comply with the subpoena. The user also includes the hashtag #RedNationRising to show their support for conservative values.,
65,@2AFight All these shootings in America are planned. Stay safe stay second amendment. Illegal guns kill people way more wtf?!!!,Donald Trump,NONE,∀x (¬(is mentioned(x) ∨ is referenced(x)) → ¬is Donald Trump(x)) → neutral,1,All of the shootings that happened in America were premeditated. Stay safe and protect your second amendment right. It is surprising that illegal guns are responsible for more deaths than legally obtained firearms. What the actual f***?!!!,
66,@Rene_gadeCowboy @danoroadblade yes but if a cop bust a bunch of people having a riot it is a hate crime,Donald Trump,NONE,"Let's break it down step by step. First, simplify the sentence to extract relevant information related to the target attitude. Then, provide the attitude conclusion.

Simplified Sentence: No mention or reference to given target 'Donald Trump'

Attitude Conclusion: The attitude towards Donald Trump is Neutral.
First-order logic:
M(x): x is mentioned.
R(x): x is referenced.
D(x): x is Donald Trump.
Neutral: ∀x (¬(M(x) ∨ R(x)) → ¬D(x))",0,"Rene_gadeCowboy and danoroadblade were discussing how if a police officer arrests a group of people who are involved in a riot, it could be considered as a hate crime.",
67,The gift that keeps on giving. #makeitstop,Donald Trump,AGAINST,∀x ((is mentioned(x) ∧ is Donald Trump(x)) ∧ is mentioned in a negative contet(x)) → is opposed(x) → opposed,1,Donald Trump has been a continuous source of entertainment or controversy that some people are tired of. The person who tweeted this wants it to stop.,
